,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Det. Honeybaked,T1EHL,1,20,12,44,29,44,32,,,,,,,,,,,,,,,,,
0,20102011,Det. Honeybaked,T1EHL,1,12,6,88,38,88,18,,,,,,,,,,,,,,,,,
0,20112012,USNTDP,USHL,1,14,3,112,35,112,17,57.0,1.0,5.26,0.0,0.0,-9.0,,,,,,,,,,,
0,20112012,USNTDP,U-17,2,6,3,14,17,14,9,,,,,,,,,,,,,,,,,
0,20122013,USNTDP,USHL,1,5,5,84,19,84,10,78.0,0.0,6.41,0.0,0.0,1.0,,,,,,,,,,,
0,20122013,USNTDP,U-18,2,16,11,98,40,98,27,,,,,,,,,,,,,,,,,
0,20122013,U.S.A.,WJ18-A,3,2,3,14,7,14,5,35.0,2.0,8.57,0.0,0.0,0.0,,,,,,,,,,,
0,20132014,London,OHL,1,20,14,120,66,120,34,,1.0,,1.0,0.0,11.0,,,,,,,,,,,
0,20142015,London,OHL,1,19,22,58,25,58,41,,13.0,,1.0,1.0,8.0,,,,,,,,,,,
0,20142015,Oshawa,OHL,2,21,6,70,31,70,27,,1.0,,2.0,0.0,17.0,,,,,,,,,,,
0,20152016,Montréal Canadiens,National Hockey League,1,1,1,37,20,37,2,41.0,0.0,2.44,0.0,0.0,-10.0,233:38,49.0,0.0,24:22,209:16,50.3,0.0,0.0,00:00,8.0,354.0
0,20152016,St. John's,AHL,2,21,17,91,58,91,38,125.0,6.0,13.6,2.0,0.0,-8.0,,,,,,,,,,,
0,20152016,St. John's IceCaps,AHL,99687,21,17,91,58,91,38,,,,,,-8.0,,,,,,,,,,,
0,20162017,Montréal Canadiens,National Hockey League,1,4,1,41,31,41,5,31.0,0.0,3.23,0.0,0.0,-4.0,306:33,75.0,0.0,13:29,292:46,43.43,0.0,0.0,00:18,11.0,453.0
0,20162017,St. John's IceCaps,AHL,99687,12,7,66,32,66,19,,,,,,-7.0,,,,,,,,,,,
0,20172018,Montréal Canadiens,National Hockey League,1,1,0,32,18,32,1,15.0,0.0,0.0,0.0,0.0,-1.0,157:43,61.0,0.0,01:33,156:07,48.78,0.0,0.0,00:03,14.0,233.0
0,20172018,Laval Rocket,AHL,222817,17,7,121,54,121,24,,,,,,-14.0,,,,,,,,,,,
0,20182019,Laval Rocket,AHL,222817,14,7,46,32,46,21,,,,,,0.0,,,,,,,,,,,
0,20192020,Milwaukee Admirals,AHL,1017,3,10,50,27,50,13,,,,,,3.0,,,,,,,,,,,
0,20192020,Laval Rocket,AHL,222817,9,5,50,29,50,14,,,,,,-1.0,,,,,,,,,,,
0,20202021,Nashville Predators,National Hockey League,1,0,0,16,6,16,0,3.0,0.0,0.0,0.0,0.0,1.0,61:45,12.0,0.0,04:23,55:01,42.86,0.0,0.0,02:21,0.0,85.0
0,20212022,Nashville Predators,National Hockey League,1,7,7,70,51,70,14,51.0,0.0,13.7,2.0,1.0,10.0,529:51,116.0,1.0,02:15,468:05,54.39,0.0,1.0,59:31,31.0,725.0
0,20212022,Milwaukee Admirals,AHL,1017,3,3,15,14,15,6,,,,,,-3.0,,,,,,,,,,,
