,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Coeur d'Alene Colts,NPHL,80099,3,4,2,11,2,0.0,7,,,,,,,,,,,,,,,,
0,20062007,Coeur d'Alene Lakers,NPHL,21789,64,56,57,39,57,0.0,120,,,,,,,,,,,,,,,,
0,20072008,Spokane,WHL,1,22,13,34,69,34,,35,,,,,,,,,,,,,,,,
0,20082009,Spokane,WHL,1,35,26,52,62,52,,61,,,,,,,,,,,,,,,,
0,20082009,United States,WJ18-A,3,0,1,2,6,2,-2.0,1,0.0,0.0,0.0,,,,,,,,,,,,,
0,20092010,Spokane,WHL,1,35,36,32,64,32,,71,,,,,,,,,,,,,,,,
0,20092010,U.S.A.,WJC-A,2,2,3,25,7,25,4.0,5,0.0,0.0,1.0,,,,,,,,,,,,,
0,20102011,Spokane,WHL,1,62,53,48,71,48,,115,,,,,,,,,,,,,,,,
0,20112012,Norfolk,AHL,1,37,31,28,75,28,17.0,68,10.0,6.0,2.0,222.0,13.96,,,,,,,,,,,
0,20122013,Tampa Bay Lightning,National Hockey League,1,3,3,4,14,4,3.0,6,0.0,0.0,0.0,11.0,27.27,183:02,18.0,0.0,23:33,150:07,59.5,0.0,0.0,09:22,4.0,265.0
0,20122013,Syracuse,AHL,2,28,37,34,62,34,26.0,65,12.0,3.0,1.0,191.0,19.37,,,,,,,,,,,
0,20132014,Tampa Bay Lightning,National Hockey League,1,26,24,26,82,26,23.0,50,5.0,4.0,5.0,181.0,13.26,1540:20,55.0,10.0,205:19,1168:41,48.16,0.0,6.0,166:20,37.0,1998.0
0,20132014,U.S.A.,WC-A,2,3,4,2,7,2,1.0,7,1.0,2.0,0.0,18.0,,,,,,,,,,,,
0,20142015,Tampa Bay Lightning,National Hockey League,1,43,29,24,77,24,33.0,72,8.0,6.0,0.0,203.0,14.29,1327:21,64.0,17.0,173:06,1018:48,48.69,2.0,0.0,135:27,36.0,1709.0
0,20152016,Tampa Bay Lightning,National Hockey League,1,24,14,20,69,20,4.0,38,3.0,7.0,0.0,167.0,8.38,1182:37,46.0,13.0,189:15,950:42,48.58,1.0,0.0,42:40,25.0,1416.0
0,20162017,Tampa Bay Lightning,National Hockey League,1,26,19,28,66,28,-5.0,45,6.0,3.0,0.0,130.0,14.62,1242:14,46.0,17.0,188:59,917:54,51.96,1.0,0.0,135:21,30.0,1573.0
0,20172018,Tampa Bay Lightning,National Hockey League,1,29,21,24,81,24,3.0,50,4.0,3.0,2.0,186.0,11.29,1376:20,48.0,13.0,184:49,1069:17,50.07,0.0,2.0,122:14,47.0,1798.0
0,20182019,Tampa Bay Lightning,National Hockey League,1,18,29,28,80,28,15.0,47,1.0,4.0,1.0,163.0,17.79,1275:52,50.0,8.0,127:31,1111:24,48.63,0.0,1.0,36:57,32.0,1650.0
0,20192020,Tampa Bay Lightning,National Hockey League,1,17,14,16,65,16,9.0,31,1.0,2.0,0.0,113.0,12.4,945:19,62.0,7.0,129:08,811:27,49.01,1.0,0.0,04:44,22.0,1245.0
0,20202021,Tampa Bay Lightning,National Hockey League,1,14,8,16,55,16,-1.0,22,2.0,1.0,0.0,77.0,10.4,751:30,63.0,3.0,86:04,664:41,54.84,0.0,0.0,00:45,15.0,974.0
0,20212022,Chicago Blackhawks,National Hockey League,1,4,3,12,26,12,-8.0,7,0.0,0.0,0.0,30.0,10.0,337:21,37.0,2.0,58:29,276:32,60.78,0.0,0.0,02:20,7.0,444.0
