,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20132014,Cleveland Barons Bantam Minor,T1EMBHL,168390,9,10,16.0,18,16,19,
0,20142015,Cleveland Barons Bantam Major,T1EBHL,138409,12,6,12.0,15,12,18,
0,20152016,Cleveland Barons 16U AAA,T1EHL 16U,100766,24,10,66.0,32,66,34,
0,20152016,Team Royal,USA-S15,178263,0,2,,5,,2,
0,20162017,Youngstown Phantoms,USHL,27206,14,7,30.0,59,30,21,7.0
0,20162017,Team Columbia,USA-S16,177734,3,2,,5,,5,
0,20172018,Youngstown Phantoms,USHL,27206,18,13,30.0,54,30,31,-4.0
0,20172018,USA U19,WJAC-19,87412,1,1,2.0,5,2,2,
0,20172018,USA U18,Hlinka Gretzky Cup,140070,1,3,4.0,4,4,4,0.0
0,20172018,Team Grey,USA-S17,177425,1,0,,5,,1,
0,20182019,Yale Univ.,NCAA,8420,6,5,16.0,24,16,11,1.0
0,20192020,Yale Univ.,NCAA,8420,10,17,39.0,28,39,27,14.0
0,20192020,USA U20,WJC-20,17276,0,1,2.0,5,2,1,1.0
0,20202021,Providence Bruins,AHL,897,0,1,2.0,13,2,1,0.0
0,20212022,Providence Bruins,AHL,897,3,2,4.0,52,4,5,-6.0
