,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20102011,California Titans 18U,NAPHL 18U,83988,0.868,3.52,3,,,,,,,,,,,,,,,,,,,
0,20112012,Orange County HC 18U,NAPHL 18U,60078,0.918,2.05,9,,,,,,,,,,,,,,,,,,,
0,20122013,Amarillo Bulls,NAHL,71998,0.899,2.26,19,,,,,,,,,,,,,,,,,,,
0,20132014,Amarillo Bulls,NAHL,71998,0.937,1.6,31,,,,,,,,,,,,,,,,,,,
0,20142015,Merrimack College,NCAA,18780,0.937,1.86,9,,,,,,,,,,,,,,,,,,,
0,20152016,Merrimack College,NCAA,19270,0.889,2.96,26,,,,,,,,,,,,,,,,,,,
0,20162017,Merrimack College,NCAA,19270,0.927,2.15,21,,,,,,,,,,,,,,,,,,,
0,20172018,Chicago Blackhawks,National Hockey League,1,0.888889,3.962887,2,105:59,0.0,0.0,0.0,1.0,1.0,56.0,1.0,1.0,54.0,1.0,58.0,4.0,2.0,63.0,7.0,25.0,100.0,93.10344827586206
0,20172018,Rockford IceHogs,AHL,8267,0.9,2.72,28,,,,,,,,,,,,,,,,,,,
0,20172018,Indy Fuel,ECHL,163565,0.887,4.12,10,,,,,,,,,,,,,,,,,,,
0,20182019,Chicago Blackhawks,National Hockey League,1,0.908257,3.609891,16,831:03,3.0,0.0,0.0,6.0,4.0,495.0,64.0,7.0,424.0,7.0,463.0,75.0,14.0,545.0,50.0,85.33333333333334,100.0,91.5766738660907
0,20182019,Rockford IceHogs,AHL,8267,0.922,2.48,26,,,,,,,,,,,,,,,,,,,
0,20192020,Rockford IceHogs,AHL,8267,0.912,2.66,32,,,,,,,,,,,,,,,,,,,
0,20202021,Chicago Blackhawks,National Hockey League,1,0.902,3.5876,6,334:29,1.0,0.0,0.0,1.0,3.0,185.0,27.0,7.0,151.0,8.0,168.0,29.0,5.0,205.0,20.0,93.10344827586206,87.5,89.88095238095238
0,20202021,Rockford IceHogs,AHL,8267,0.858,5.16,4,,,,,,,,,,,,,,,,,,,
0,20212022,Chicago Blackhawks,National Hockey League,1,0.899,3.84727,8,343:06,1.0,0.0,0.0,1.0,4.0,196.0,22.0,4.0,170.0,5.0,187.0,26.0,6.0,218.0,22.0,84.61538461538461,80.0,90.9090909090909
0,20212022,Rockford IceHogs,AHL,8267,0.905,3.04,22,,,,,,,,,,,,,,,,,,,
