,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus
0,20122013,Buf. Jr. Sabres U16,T1EHL,1,8,1,14,40,14,9,,,,,,
0,20122013,Buf. Jr. Sabres U18,T1EHL,2,0,0,2,4,2,0,,,,,,
0,20132014,Buf. Jr. Sabres U16,T1EHL,1,9,10,31,34,31,19,,,,,,
0,20132014,Muskegon,USHL,2,4,2,8,28,8,6,23.0,1.0,8.7,0.0,0.0,1.0
0,20142015,Muskegon,USHL,1,14,3,35,60,35,17,68.0,0.0,4.4,0.0,0.0,10.0
0,20152016,U. of Michigan,Big Ten,1,7,0,16,38,16,7,,0.0,,0.0,0.0,10.0
0,20152016,Univ. of Michigan,NCAA,8590,7,0,16,38,16,7,,,,,,10.0
0,20162017,Univ. of Michigan,NCAA,8590,7,1,18,33,18,8,,,,,,-5.0
0,20162017,USA U20,WJC-20,17276,2,0,0,7,0,2,,,,,,1.0
0,20172018,Univ. of Michigan,NCAA,8590,22,5,43,40,43,27,,,,,,0.0
0,20182019,Univ. of Michigan,NCAA,8590,17,3,26,36,26,20,,,,,,-2.0
0,20182019,Texas Stars,AHL,45177,2,0,0,8,0,2,,,,,,1.0
0,20192020,Texas Stars,AHL,45177,5,0,14,54,14,5,,,,,,-21.0
0,20202021,Texas Stars,AHL,45177,5,3,30,37,30,8,,,,,,-4.0
0,20212022,Texas Stars,AHL,45177,15,1,52,65,52,16,,,,,,-6.0
