,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Kölner EC U16,Schüler-BL,68319,10,2,11,14,11,0.0,12,,,,,,,,,,,,,,,,
0,20082009,Kölner EC U16,Schüler-BL,68319,23,20,26,30,26,0.0,43,,,,,,,,,,,,,,,,
0,20092010,Mannheimer ERC U16,Schüler-BL,68309,55,48,22,26,22,0.0,103,,,,,,,,,,,,,,,,
0,20102011,Heil./Mann. Jr.,Ger-Jr.,1,1,0,2,6,2,,1,,,,,,,,,,,,,,,,
0,20112012,Heil./Mann. Jr.,Ger-Jr.,1,35,21,39,35,39,,56,,,,,,,,,,,,,,,,
0,20122013,Prince Albert,WHL,1,37,21,22,64,22,22.0,58,2.0,1.0,1.0,,,,,,,,,,,,,
0,20132014,Prince Albert,WHL,1,67,38,24,64,24,7.0,105,12.0,7.0,1.0,,,,,,,,,,,,,
0,20142015,Edmonton Oilers,National Hockey League,1,7,2,4,37,4,-17.0,9,1.0,1.0,0.0,469:44,49.0,21.0,2.0,68:01,401:11,40.63,4.08,0.0,0.0,00:32,8.0,647.0
0,20142015,Kelowna,WHL,2,34,19,25,32,25,14.0,53,8.0,6.0,0.0,,,,,,,,,,,,,
0,20152016,Edmonton Oilers,National Hockey League,1,32,19,20,72,20,-2.0,51,5.0,2.0,0.0,1300:14,133.0,38.0,9.0,183:57,1112:18,48.36,14.29,0.0,0.0,03:59,18.0,1656.0
0,20152016,Bakersfield,AHL,2,1,1,4,6,4,-5.0,2,0.0,0.0,0.0,,13.0,,,,,,7.7,,,,,
0,20152016,Germany,WC-A,3,3,1,4,8,4,-2.0,4,0.0,0.0,0.0,,6.0,,,,,,,,,,,
0,20152016,Bakersfield Condors,AHL,7257,1,1,4,6,4,-5.0,2,,,,,,,,,,,,,,,,
0,20152016,Germany,WC,17655,3,1,4,8,4,-2.0,4,,,,,,,,,,,,,,,,
0,20162017,Edmonton Oilers,National Hockey League,1,48,29,20,82,20,7.0,77,10.0,5.0,0.0,1548:29,172.0,41.0,27.0,238:29,1275:24,48.97,16.86,3.0,0.0,34:36,36.0,1865.0
0,20162017,Germany,OGQ,17415,3,2,0,3,0,2.0,5,,,,,,,,,,,,,,,,
0,20162017,Germany,WC,17655,2,0,2,3,2,0.0,2,,,,,,,,,,,,,,,,
0,20162017,Team Europe,WCup,162186,0,2,0,6,0,2.0,2,,,,,,,,,,,,,,,,
0,20172018,Edmonton Oilers,National Hockey League,1,45,25,30,78,30,-7.0,70,6.0,1.0,3.0,1506:59,194.0,40.0,11.0,220:55,1207:09,56.09,12.89,1.0,4.0,78:55,24.0,1759.0
0,20172018,Germany,WC,17655,7,2,16,7,16,2.0,9,,,,,,,,,,,,,,,,
0,20182019,Edmonton Oilers,National Hockey League,1,55,50,52,82,52,2.0,105,16.0,5.0,3.0,1852:27,231.0,57.0,29.0,274:20,1483:27,50.52,21.65,3.0,3.0,94:40,26.0,2126.0
0,20182019,Germany,WC,17655,3,5,0,8,0,-1.0,8,,,,,,,,,,,,,,,,
0,20192020,Edmonton Oilers,National Hockey League,1,67,43,18,71,18,-7.0,110,16.0,10.0,0.0,1605:24,218.0,27.0,44.0,273:00,1270:20,52.09,19.7,2.0,0.0,62:04,19.0,1540.0
0,20202021,Edmonton Oilers,National Hockey League,1,53,31,22,56,22,29.0,84,15.0,8.0,1.0,1242:33,168.0,37.0,32.0,237:00,971:54,55.67,18.5,0.0,1.0,33:39,12.0,1196.0
0,20212022,Edmonton Oilers,National Hockey League,1,55,55,40,80,40,17.0,110,24.0,11.0,1.0,1787:56,278.0,53.0,41.0,306:56,1405:22,53.4,19.8,1.0,1.0,75:38,25.0,1827.0
