,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20132014,St.L. AAA Blues,T1EHL,1,19,11,30,37,30,30,,,,,,,,,,,,,,,,,
0,20142015,USNTDP,USHL,1,2,3,30,35,30,5,45.0,1.0,6.7,1.0,0.0,-20.0,,,,,,,,,,,
0,20142015,USNTDP,U-17,2,7,2,12,20,12,9,,,,,,,,,,,,,,,,,
0,20152016,USAHNTDP,USHL,1,10,4,23,23,23,14,,,,,,5.0,,,,,,,,,,,
0,20152016,USAHNTDP,U-18,2,10,16,38,38,38,26,,,,,,,,,,,,,,,,,
0,20152016,U.S.A.,WJ18-A,3,3,4,4,7,4,7,16.0,1.0,25.0,0.0,1.0,6.0,,,,,,,,,,,
0,20152016,USA U18,WJC-18,17253,3,4,4,7,4,7,,,,,,6.0,,,,,,,,,,,
0,20152016,U.S. National U18 Team,USDP,19564,20,20,73,61,73,40,,,,,,,,,,,,,,,,,
0,20152016,USNTDP Juniors,USHL,52486,10,4,23,23,23,14,,,,,,5.0,,,,,,,,,,,
0,20162017,Univ. of Wisconsin,NCAA,5080,18,15,32,30,32,33,,,,,,2.0,,,,,,,,,,,
0,20172018,Providence Bruins,AHL,897,3,5,11,13,11,8,,,,,,3.0,,,,,,,,,,,
0,20172018,Univ. of Wisconsin,NCAA,5080,15,17,26,36,26,32,,,,,,-9.0,,,,,,,,,,,
0,20172018,USA U20,WJC-20,17276,0,5,2,7,2,5,,,,,,3.0,,,,,,,,,,,
0,20182019,Boston Bruins,National Hockey League,1,0,0,15,15,15,0,19.0,0.0,0.0,0.0,0.0,-4.0,141:00,18.0,0.0,05:05,134:24,50.62,0.0,0.0,01:31,3.0,198.0
0,20182019,Providence Bruins,AHL,897,11,14,67,55,67,25,,,,,,2.0,,,,,,,,,,,
0,20192020,Boston Bruins,National Hockey League,1,0,0,0,2,0,0,1.0,0.0,0.0,0.0,0.0,-1.0,12:51,8.0,0.0,00:00,12:51,0.0,0.0,0.0,00:00,0.0,19.0
0,20192020,Providence Bruins,AHL,897,24,8,148,59,148,32,,,,,,10.0,,,,,,,,,,,
0,20202021,Boston Bruins,National Hockey League,1,1,4,65,42,65,5,44.0,0.0,9.1,3.0,0.0,-8.0,472:43,61.0,0.0,11:34,450:03,52.86,0.0,0.0,11:06,15.0,645.0
0,20212022,Boston Bruins,National Hockey League,1,10,8,57,60,57,18,100.0,0.0,8.0,1.0,0.0,10.0,699:13,119.0,0.0,04:10,662:50,39.33,0.0,0.0,32:13,22.0,950.0
