,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20132014,HC Hradec Kralove U16,Czech U16,83507,0.906,2.49,28
0,20142015,HK Hradec Kralove U18,Czech U18,40582,0.909,2.84,7
0,20142015,HK Hradec Kralove U16,Czech U16,83210,0.95,1.29,28
0,20142015,HC Hradec Kralove U16,Czech U16,83507,0.95,1.29,28
0,20152016,HK Hradec Kralove U18,Czechia U18,42414,0.911,2.37,28
0,20152016,HK Hradec Kralove U20,Czechia U20,42427,0.884,4.25,4
0,20152016,Czechia U17,WHC-17,61320,0.9,2.4,2
0,20162017,Corpus Christi IceRays,NAHL,72464,0.923,2.43,41
0,20172018,Lincoln Stars,USHL,9366,0.903,2.79,44
0,20182019,Univ. of Connecticut,NCAA,14180,0.922,2.32,15
0,20192020,Univ. of Connecticut,NCAA,14180,0.898,3.13,33
0,20202021,Univ. of Connecticut,NCAA,14180,0.909,2.84,23
0,20212022,Florida Everblades,ECHL,2565,0.897,3.17,22
