,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,faceOffPct,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Honeybaked Bantam Minor AAA,T1EMBHL,148520,19,11,8.0,28,8,0.0,30,,,,,,,,,,,,,,,,
0,20062007,Honeybaked Bantam Major AAA,T1EBHL,122779,28,15,6.0,29,6,0.0,43,,,,,,,,,,,,,,,,
0,20072008,Det. Honeybaked,MWEHL,1,28,17,6.0,31,6,,45,0.0,,,,,,,,,,,,,,,
0,20072008,Det. Honeybaked,Minor-MI,2,20,27,,37,,,47,0.0,,,,,,,,,,,,,,,
0,20082009,USNTDP,NAHL,1,9,6,18.0,42,18,,15,,,,,,,,,,,,,,,,
0,20082009,USNTDP,U-17,2,2,3,4.0,16,4,,5,0.0,,,,,,,,,,,,,,,
0,20092010,USNTDP,USHL,1,13,10,6.0,27,6,,23,0.0,,,,,,,,,,,,,,,
0,20092010,USNTDP,U-17,2,0,0,0.0,1,0,,0,0.0,,,,,,,,,,,,,,,
0,20092010,USNTDP,U-18,3,13,16,18.0,38,18,,29,0.0,,,,,,,,,,,,,,,
0,20092010,U.S.A.,WJ18-A,5,2,4,4.0,7,4,,6,0.0,,,,,,,,,,,,,,,
0,20102011,U. of Notre Dame,CCHA,1,13,6,4.0,40,4,,19,,0.0,0.0,1.0,,,,,,,,,,,,
0,20112012,U. of Notre Dame,CCHA,1,6,5,14.0,40,14,,11,,0.0,1.0,0.0,,,,,,,,,,,,
0,20122013,U. of Notre Dame,CCHA,1,19,15,4.0,41,4,,34,,5.0,4.0,1.0,,,,,,,,,,,,
0,20132014,U. of Notre Dame,H-East,1,16,17,12.0,40,12,,33,,4.0,3.0,2.0,,,,,,,,,,,,
0,20132014,Wilkes-Barre,AHL,2,0,0,0.0,2,0,0.0,0,,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,
0,20142015,Pittsburgh Penguins,National Hockey League,1,1,1,4.0,14,4,-3.0,2,0.0,0.0,0.0,0.0,34.0,2.94,168:22,21.0,0.0,06:52,161:18,0.0,0.0,00:12,3.0,245.0
0,20142015,Wilkes-Barre,AHL,2,14,13,14.0,45,14,6.0,27,,3.0,3.0,0.0,109.0,11.9,,,,,,,,,,
0,20152016,Pittsburgh Penguins,National Hockey League,1,7,4,12.0,41,12,1.0,11,25.0,0.0,1.0,0.0,68.0,5.88,512:24,62.0,1.0,12:19,489:18,0.0,0.0,10:47,23.0,765.0
0,20152016,Wilkes-Barre,AHL,2,3,3,2.0,16,2,-5.0,6,,1.0,1.0,0.0,40.0,7.5,,,,,,,,,,
0,20152016,Wilkes-Barre/Scranton Penguins,AHL,1077,3,3,2.0,16,2,-5.0,6,,,,,,,,,,,,,,,,
0,20162017,Pittsburgh Penguins,National Hockey League,1,13,15,8.0,57,8,4.0,28,40.0,0.0,1.0,0.0,110.0,13.64,777:16,101.0,0.0,11:51,723:48,1.0,1.0,41:37,29.0,1131.0
0,20172018,Pittsburgh Penguins,National Hockey League,1,25,13,26.0,69,26,11.0,38,25.81,2.0,3.0,2.0,123.0,10.57,1107:23,97.0,4.0,52:40,958:13,1.0,3.0,96:30,40.0,1606.0
0,20182019,Pittsburgh Penguins,National Hockey League,1,17,18,24.0,72,24,10.0,35,33.33,0.0,4.0,2.0,141.0,12.77,1145:07,119.0,0.0,08:53,994:13,0.0,4.0,142:01,59.0,1610.0
0,20192020,Pittsburgh Penguins,National Hockey League,1,29,27,30.0,55,30,14.0,56,20.0,8.0,4.0,1.0,151.0,17.9,1087:05,71.0,17.0,153:57,843:10,2.0,2.0,89:58,35.0,1451.0
0,20202021,Pittsburgh Penguins,National Hockey League,1,20,22,18.0,56,18,9.0,42,50.0,6.0,6.0,0.0,154.0,14.3,1104:33,62.0,11.0,155:54,928:27,0.0,0.0,20:12,30.0,1387.0
0,20212022,Pittsburgh Penguins,National Hockey League,1,34,24,14.0,60,14,7.0,58,16.67,9.0,1.0,0.0,180.0,13.3,1126:13,43.0,21.0,206:28,873:41,0.0,0.0,46:04,24.0,1395.0
