,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20172018,Buldogi St. Petersburg U16,Russia U16,189927,0.913,1.96,16
0,20182019,Russia U18,WJC-18,17523,0.916,2.31,6
0,20182019,Russia U17,WHC-17,61290,0.948,1.4,5
0,20182019,SKA-Varyagi im. Morozova,MHL,176622,0.921,2.37,31
0,20192020,SKA St. Petersburg,KHL,2434,0.92,2.0,1
0,20192020,Russia U20,WJC-20,17546,0.877,2.71,5
0,20192020,SKA-Neva St. Petersburg,VHL,46357,0.92,2.45,18
0,20202021,SKA St. Petersburg,KHL,2434,0.951,1.21,9
0,20202021,Russia U20,WJC-20,17546,0.914,2.5,6
0,20202021,SKA-Neva St. Petersburg,VHL,46357,0.923,2.12,6
0,20202021,SKA-1946 St. Petersburg,MHL,49762,0.979,0.5,2
0,20212022,SKA St. Petersburg,KHL,2434,0.913,1.81,6
0,20212022,SKA-Neva St. Petersburg,VHL,46357,0.899,2.57,9
