,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,plusMinus,hits,powerPlayPoints,overTimeGoals,shortHandedPoints,blocked
0,20052006,Avon Old Farms,High-CT,1,00:00,20,15,16,25,00:00,00:00,16,0.0,00:00,35,0.0,,,,,,,,,,,
0,20062007,Avon Old Farms,High-CT,1,00:00,24,28,12,27,00:00,00:00,12,0.0,00:00,52,0.0,,,,,,,,,,,
0,20072008,Avon Old Farms,High-CT,1,00:00,37,26,10,28,00:00,00:00,10,0.0,00:00,63,0.0,,,,,,,,,,,
0,20082009,Boston College,H-East,1,,12,7,28,36,,,28,,,19,,,,,,,,,,,,
0,20092010,Boston College,H-East,1,,23,30,30,42,,,30,,,53,,,,,,,,,,,,
0,20102011,Boston College,H-East,1,,21,31,28,39,,,28,,,52,,8.0,5.0,4.0,,,,,,,,
0,20102011,Springfield,AHL,2,,2,3,0,5,,,0,,,5,,1.0,1.0,0.0,14.0,21.43,2.0,,,,,
0,20112012,Columbus Blue Jackets,National Hockey League,1,415:28,7,7,14,27,74:55,338:46,14,0.0,01:47,14,535.0,1.0,0.0,0.0,66.0,10.61,1.0,23.0,2.0,0.0,0.0,17.0
0,20112012,U.S.A.,WC-A,2,,2,1,4,8,,,4,,,3,,0.0,0.0,0.0,,,3.0,,,,,
0,20112012,Springfield,AHL,3,,15,29,31,51,,,31,,,44,,13.0,4.0,2.0,172.0,16.86,5.0,,,,,
0,20122013,Columbus Blue Jackets,National Hockey League,1,545:31,9,9,4,35,46:14,475:12,4,0.0,24:05,18,738.0,1.0,1.0,0.0,91.0,9.89,9.0,24.0,2.0,0.0,0.0,16.0
0,20122013,Springfield,AHL,2,,21,17,14,33,,,14,,,38,,6.0,5.0,1.0,115.0,14.78,7.0,,,,,
0,20132014,Columbus Blue Jackets,National Hockey League,1,1247:20,19,21,18,79,175:29,1057:47,18,0.0,14:04,40,1635.0,4.0,5.0,1.0,216.0,9.72,-4.0,55.0,9.0,0.0,1.0,38.0
0,20142015,Columbus Blue Jackets,National Hockey League,1,1325:18,18,22,22,78,180:16,1068:44,22,44.44,76:18,40,1813.0,7.0,7.0,1.0,212.0,10.38,-2.0,55.0,10.0,0.0,1.0,39.0
0,20152016,Columbus Blue Jackets,National Hockey League,1,1441:39,26,27,22,81,182:29,1107:07,22,50.0,152:03,53,1914.0,4.0,3.0,2.0,226.0,11.95,-8.0,47.0,10.0,1.0,2.0,40.0
0,20162017,Columbus Blue Jackets,National Hockey League,1,1482:52,27,35,22,82,207:53,1147:16,22,66.67,127:43,62,1966.0,10.0,9.0,3.0,240.0,14.58,13.0,33.0,21.0,3.0,3.0,34.0
0,20172018,Columbus Blue Jackets,National Hockey League,1,1228:36,22,24,14,65,179:04,957:05,14,32.31,92:27,46,1542.0,3.0,5.0,1.0,231.0,10.39,19.0,32.0,10.0,1.0,1.0,29.0
0,20172018,USA,WC,17215,,4,7,2,10,,,2,,,11,,,,,,,-3.0,,,,,
0,20182019,Columbus Blue Jackets,National Hockey League,1,1550:14,28,41,20,80,214:52,1228:17,20,31.58,107:05,69,1951.0,8.0,8.0,4.0,295.0,13.9,3.0,27.0,14.0,0.0,4.0,25.0
0,20192020,Columbus Blue Jackets,National Hockey League,1,785:11,14,12,6,44,100:21,615:22,6,47.37,69:28,26,1019.0,3.0,2.0,0.0,148.0,8.1,2.0,18.0,8.0,1.0,0.0,21.0
0,20202021,Columbus Blue Jackets,National Hockey League,1,1060:18,19,15,4,56,121:26,840:30,4,23.33,98:22,34,1322.0,1.0,2.0,4.0,158.0,9.5,-16.0,22.0,9.0,0.0,4.0,30.0
0,20212022,Philadelphia Flyers,National Hockey League,1,1331:59,27,23,10,73,195:35,1007:51,10,29.41,128:33,50,1835.0,2.0,6.0,3.0,215.0,10.7,-2.0,20.0,5.0,1.0,3.0,45.0
