,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,goalsAgainst,ot,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,shotsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20032004,Lukko U16,Jr. C SM-sarja,80662,0.75,8.26,1,,,,,,,,,,,,,,,,,,,
0,20042005,Lukko U16,Jr. C SM-sarja,80662,0.0,0.0,22,,,,,,,,,,,,,,,,,,,
0,20052006,Lukko U18,Jr. B SM-sarja,25039,0.889,3.9,17,,,,,,,,,,,,,,,,,,,
0,20062007,Lukko U18,Jr. B SM-sarja,25039,0.893,4.39,26,,,,,,,,,,,,,,,,,,,
0,20072008,Lukko U20,Jr. A SM-liiga,20030,0.905,3.23,13,,,,,,,,,,,,,,,,,,,
0,20082009,Lukko,Finland,1,,2.51,2,,,,,,,,,,,,,,,,,,,
0,20092010,Lukko Jr.,Fin-Jr.,1,,2.2,15,,,,,,,,,,,,,,,,,,,
0,20092010,Lukko,Finland,2,,2.66,15,836:00,2.0,1.0,6.0,7.0,37.0,,,,,,,,,,,,,
0,20102011,Lukko,Finland,1,,2.37,20,,,,,,,,,,,,,,,,,,,
0,20112012,Assat,Finland,1,,2.23,38,,,,,,,,,,,,,,,,,,,
0,20122013,Assat,Finland,1,,1.85,45,2595:00,5.0,11.0,21.0,10.0,80.0,,,,,,,,,,,,,
0,20132014,Chicago Blackhawks,National Hockey League,1,0.896721,2.706444,25,1396:40,1.0,,13.0,5.0,63.0,4.0,547.0,106.0,18.0,423.0,20.0,472.0,118.0,22.0,610.0,89.83050847457628,90.0,89.61864406779661
0,20132014,Rockford,AHL,2,0.914,2.83,14,677:00,0.0,0.0,7.0,5.0,32.0,,338.0,,,,,,,,370.0,,,
0,20142015,Chicago Blackhawks,National Hockey League,1,0.935733,1.893501,14,792:11,2.0,,7.0,4.0,25.0,1.0,364.0,57.0,5.0,302.0,5.0,322.0,62.0,12.0,389.0,91.93548387096774,100.0,93.7888198757764
0,20142015,Rockford,AHL,2,0.918,2.39,11,604:00,2.0,1.0,8.0,1.0,24.0,,267.0,,,,,,,,291.0,,,
0,20142015,Rockford IceHogs,AHL,8267,0.918,2.39,11,,,,,,,,,,,,,,,,,,,
0,20152016,New York Rangers,National Hockey League,1,0.918868,2.242796,25,1150:21,1.0,,11.0,6.0,43.0,2.0,487.0,58.0,16.0,413.0,16.0,449.0,65.0,18.0,530.0,89.23076923076924,100.0,91.98218262806236
0,20162017,New York Rangers,National Hockey League,1,0.921995,2.262984,30,1617:20,4.0,,16.0,8.0,61.0,2.0,721.0,94.0,14.0,613.0,14.0,656.0,112.0,26.0,782.0,83.92857142857143,100.0,93.4451219512195
0,20172018,Arizona Coyotes,National Hockey League,1,0.930115,2.239222,47,2599:07,3.0,0.0,21.0,17.0,97.0,6.0,1291.0,178.0,31.0,1082.0,34.0,1155.0,199.0,46.0,1388.0,89.44723618090453,91.17647058823529,93.67965367965368
0,20182019,Arizona Coyotes,National Hockey League,1,0.905983,2.881677,12,687:06,0.0,0.0,5.0,6.0,33.0,0.0,318.0,48.0,6.0,264.0,11.0,286.0,54.0,12.0,351.0,88.88888888888889,54.54545454545454,92.3076923076923
0,20192020,Arizona Coyotes,National Hockey League,1,0.921,2.6332,33,1822:54,2.0,0.0,15.0,14.0,80.0,3.0,934.0,121.0,39.0,774.0,42.0,840.0,132.0,32.0,1014.0,91.66666666666666,92.85714285714286,92.14285714285714
0,20192020,Tucson Roadrunners,AHL,218897,1.0,0.0,1,,,,,,,,,,,,,,,,,,,
0,20202021,Arizona Coyotes,National Hockey League,1,0.905,3.3587,12,678:50,0.0,0.0,5.0,5.0,38.0,2.0,363.0,60.0,6.0,297.0,6.0,327.0,68.0,11.0,401.0,88.23529411764706,100.0,90.82568807339449
0,20212022,Carolina Hurricanes,National Hockey League,1,0.912,2.4528,28,1516:38,2.0,0.0,15.0,5.0,62.0,4.0,644.0,72.0,13.0,559.0,15.0,608.0,83.0,26.0,706.0,86.74698795180723,86.66666666666667,91.94078947368422
