,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,goalsAgainst,shotsAgainst,ot,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20102011,GrIFK U16,Jr. C I-divisioona,86024,0.958,1.0,1,,,,,,,,,,,,,,,,,,,
0,20112012,Blues U18,Fin-U18,1,,2.0,1,60:00,0.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,
0,20122013,Blues U18,Fin-U18,1,,3.0,2,120:00,0.0,,,,6.0,,,,,,,,,,,,,
0,20122013,Blues Jr.,Fin-Jr.,2,,2.43,28,1676:00,4.0,,,,68.0,,,,,,,,,,,,,
0,20132014,Blues Jr.,Fin-Jr.,1,,2.39,38,2279:00,,,,,91.0,,,,,,,,,,,,,
0,20132014,Finland,WJ18-A,2,,3.37,5,269:00,0.0,0.0,2.0,3.0,15.0,131.0,,,,,,,,,,,,
0,20142015,TuTo Hockey,Finland-2,1,,2.11,47,2610:00,,,,,92.0,,,,,,,,,,,,,
0,20142015,TUTO Hockey,Mestis,4717,0.925,2.11,47,,,,,,,,,,,,,,,,,,,
0,20152016,Blues,Finland,1,,2.69,27,1581:00,1.0,5.0,6.0,15.0,71.0,,,,,,,,,,,,,
0,20152016,TuTo Hockey,Finland-2,2,,0.0,1,60:00,1.0,,,,0.0,,,,,,,,,,,,,
0,20152016,Finland,WJC-A,3,,2.52,4,214:00,0.0,0.0,4.0,0.0,9.0,99.0,,,,,,,,,,,,
0,20152016,Blues,Liiga,859,0.908,2.69,27,,,,,,,,,,,,,,,,,,,
0,20152016,TUTO Hockey,Mestis,4717,1.0,0.0,1,,,,,,,,,,,,,,,,,,,
0,20152016,Finland U20,WJC-20,17116,0.909,2.52,4,,,,,,,,,,,,,,,,,,,
0,20162017,Lukko,Liiga,939,0.921,2.58,34,,,,,,,,,,,,,,,,,,,
0,20172018,Lukko,Liiga,939,0.922,2.2,56,,,,,,,,,,,,,,,,,,,
0,20182019,Iowa Wild,AHL,149087,0.908,2.78,39,,,,,,,,,,,,,,,,,,,
0,20192020,Minnesota Wild,National Hockey League,1,0.913,2.9586,5,304:12,0.0,0.0,3.0,1.0,15.0,172.0,1.0,157.0,12.0,4.0,141.0,4.0,151.0,17.0,5.0,70.58823529411765,100.0,93.37748344370861
0,20192020,Iowa Wild,AHL,149087,0.927,2.07,34,,,,,,,,,,,,,,,,,,,
0,20202021,Minnesota Wild,National Hockey League,1,0.902,2.8845,24,1414:28,2.0,0.0,16.0,8.0,68.0,692.0,0.0,624.0,88.0,21.0,515.0,22.0,567.0,103.0,23.0,85.43689320388349,95.45454545454545,90.8289241622575
0,20212022,Minnesota Wild,National Hockey League,1,0.91,2.86756,25,1380:58,0.0,0.0,12.0,8.0,66.0,734.0,3.0,668.0,116.0,22.0,530.0,23.0,576.0,135.0,23.0,85.92592592592592,95.65217391304348,92.01388888888889
0,20212022,San Jose Sharks,National Hockey League,2,0.916,2.86228,11,565:59,0.0,0.0,2.0,6.0,27.0,322.0,1.0,295.0,36.0,7.0,252.0,8.0,273.0,41.0,10.0,87.8048780487805,87.5,92.3076923076923
