,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20052006,Markham,Minor-ON,1,00:00,92,105,87,66,00:00,00:00,87,0.0,00:00,197,0.0,,,,,,,,,,,
0,20062007,Sarnia,OHL,1,,50,42,56,63,,,56,0.0,,92,,22.0,0.0,13.0,,,,,,,,
0,20062007,Canada,WJ18-A,2,00:00,8,2,8,6,00:00,00:00,8,0.0,00:00,10,0.0,,,,,,,,,,,
0,20072008,Sarnia,OHL,1,,47,58,88,61,,,88,,,105,,23.0,5.0,18.0,,,,,,,,
0,20072008,Canada,WJC-A,2,,5,1,4,7,,,4,,,6,,0.0,0.0,1.0,0.0,,,,,,,
0,20082009,Tampa Bay Lightning,National Hockey League,1,1179:51,23,23,39,79,223:57,946:37,39,45.42,09:17,46,1499.0,9.0,0.0,-13.0,1.0,181.0,75.0,17.0,12.71,0.0,0.0,17.0
0,20082009,Canada,WC-A,3,,4,7,6,9,,,6,0.0,,11,,,,,,,,,,,,
0,20092010,Tampa Bay Lightning,National Hockey League,1,1685:14,44,51,38,82,381:18,1193:22,38,47.91,110:34,95,2078.0,24.0,1.0,-2.0,5.0,297.0,68.0,41.0,17.17,1.0,1.0,38.0
0,20092010,Canada,WC-A,5,,1,2,10,5,,,10,0.0,,3,,,,,,,,,,,,
0,20102011,Tampa Bay Lightning,National Hockey League,1,1655:56,46,45,74,82,372:53,1256:29,74,46.49,26:34,91,1946.0,17.0,0.0,3.0,8.0,272.0,84.0,36.0,16.54,1.0,0.0,37.0
0,20112012,Tampa Bay Lightning,National Hockey League,1,1805:40,37,60,66,82,311:38,1448:36,66,45.48,45:26,97,2016.0,12.0,0.0,7.0,12.0,303.0,109.0,25.0,19.8,5.0,0.0,37.0
0,20122013,Tampa Bay Lightning,National Hockey League,1,1057:06,28,29,32,48,180:11,841:59,32,49.57,34:56,57,1165.0,10.0,0.0,-4.0,2.0,157.0,63.0,18.0,18.47,0.0,0.0,17.0
0,20122013,Canada,WC-A,2,,5,7,6,8,,,6,,,12,,4.0,0.0,6.0,3.0,,,,,,,
0,20132014,Tampa Bay Lightning,National Hockey League,1,749:13,15,25,18,37,141:41,586:33,18,49.15,20:59,40,896.0,9.0,1.0,9.0,5.0,124.0,50.0,13.0,20.16,1.0,1.0,16.0
0,20142015,Tampa Bay Lightning,National Hockey League,1,1588:09,29,43,49,82,291:08,1280:11,49,49.73,16:50,72,1806.0,13.0,0.0,2.0,6.0,268.0,91.0,25.0,16.04,0.0,0.0,35.0
0,20152016,Tampa Bay Lightning,National Hockey League,1,1521:06,28,36,38,77,268:14,1193:16,38,49.95,59:36,64,1736.0,14.0,1.0,3.0,8.0,216.0,109.0,23.0,16.67,0.0,3.0,35.0
0,20162017,Tampa Bay Lightning,National Hockey League,1,303:54,11,9,14,17,57:53,232:57,14,53.54,13:04,20,366.0,3.0,0.0,3.0,1.0,58.0,21.0,7.0,15.52,0.0,0.0,3.0
0,20162017,Canada,WCup,17216,,1,1,2,6,,,2,,,2,,,,2.0,,,,,,,,
0,20172018,Tampa Bay Lightning,National Hockey League,1,1464:24,59,27,72,78,269:11,1163:24,72,52.24,31:49,86,1736.0,15.0,0.0,18.0,1.0,212.0,61.0,33.0,12.74,0.0,0.0,35.0
0,20182019,Tampa Bay Lightning,National Hockey League,1,1500:37,53,45,37,82,297:38,1154:40,37,53.1,48:19,98,1789.0,19.0,2.0,4.0,6.0,234.0,72.0,40.0,19.23,0.0,2.0,40.0
0,20192020,Tampa Bay Lightning,National Hockey League,1,1049:57,37,29,22,57,187:17,833:21,22,54.32,29:19,66,1268.0,10.0,0.0,14.0,6.0,176.0,69.0,19.0,16.5,0.0,0.0,38.0
0,20202021,Tampa Bay Lightning,National Hockey League,1,694:10,17,17,16,38,137:56,532:20,16,57.21,23:54,34,828.0,10.0,0.0,4.0,1.0,91.0,38.0,15.0,18.7,0.0,1.0,10.0
0,20212022,Tampa Bay Lightning,National Hockey League,1,1497:08,64,42,36,81,300:16,1165:10,36,51.03,31:42,106,1788.0,16.0,0.0,24.0,11.0,241.0,93.0,36.0,17.4,3.0,0.0,31.0
