,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Cambridge,Minor-ON,1,49,31,119,70,119,0.0,80,,,,,,,,,,,,,,,,
0,20072008,Barrie,OHL,1,14,1,83,66,83,,15,0.0,0.0,-18.0,,,,,,,,,,,,,
0,20082009,Barrie,OHL,1,12,16,133,60,133,,28,2.0,0.0,1.0,,,,,,,,,,,,,
0,20082009,Canada,WJ18-A,2,0,0,16,6,16,0.0,0,,,,,,,,,,,,,,,,
0,20092010,Barrie,OHL,1,29,28,111,58,111,,57,8.0,2.0,32.0,,,,,,,,,,,,,
0,20102011,Los Angeles Kings,National Hockey League,1,7,7,141,76,141,53.33,14,0.0,0.0,-10.0,722:21,69.0,138.0,0.0,02:07,719:59,10.14,0.0,0.0,0.0,00:15,17.0,1015.0
0,20112012,Los Angeles Kings,National Hockey League,1,7,5,123,81,123,12.5,12,0.0,0.0,-5.0,761:59,88.0,179.0,0.0,15:08,728:46,5.68,2.0,0.0,0.0,18:05,9.0,1079.0
0,20122013,Los Angeles Kings,National Hockey League,1,7,7,51,48,51,11.11,14,0.0,0.0,1.0,509:06,56.0,155.0,0.0,13:35,474:07,12.5,1.0,0.0,0.0,21:24,12.0,748.0
0,20122013,Ontario,ECHL,2,3,4,2,9,2,,7,0.0,0.0,2.0,,23.0,,,,,17.39,0.0,,,,,
0,20132014,Los Angeles Kings,National Hockey League,1,5,3,81,71,81,50.0,8,0.0,0.0,6.0,721:26,74.0,189.0,0.0,11:26,688:08,4.05,0.0,0.0,0.0,21:52,13.0,1015.0
0,20142015,Los Angeles Kings,National Hockey League,1,9,6,87,80,87,33.33,15,0.0,0.0,5.0,859:04,117.0,200.0,0.0,08:25,847:49,5.13,1.0,0.0,0.0,02:50,14.0,1133.0
0,20152016,Los Angeles Kings,National Hockey League,1,6,3,55,56,55,42.86,9,0.0,0.0,-1.0,523:35,68.0,111.0,0.0,03:43,514:19,4.41,0.0,0.0,0.0,05:33,11.0,760.0
0,20152016,Ontario,AHL,2,0,0,2,2,2,,0,0.0,0.0,0.0,,6.0,,,,,0.0,0.0,,,,,
0,20152016,Ontario Reign,AHL,26957,0,0,2,2,2,,0,,,0.0,,,,,,,,,,,,,
0,20162017,Los Angeles Kings,National Hockey League,1,6,6,92,73,92,40.0,12,0.0,0.0,-2.0,782:48,122.0,146.0,0.0,07:18,773:26,4.92,0.0,0.0,0.0,02:04,7.0,1101.0
0,20172018,Los Angeles Kings,National Hockey League,1,4,6,48,50,48,11.11,10,0.0,0.0,-4.0,527:28,81.0,127.0,0.0,05:24,520:13,7.41,0.0,0.0,0.0,01:51,8.0,763.0
0,20182019,Los Angeles Kings,National Hockey League,1,10,11,96,72,96,37.5,21,1.0,0.0,4.0,755:04,115.0,115.0,1.0,15:31,738:38,9.57,2.0,0.0,0.0,00:55,24.0,1084.0
0,20192020,Los Angeles Kings,National Hockey League,1,8,6,45,53,45,66.67,14,0.0,0.0,-6.0,619:22,89.0,90.0,0.0,06:51,606:16,6.7,0.0,0.0,0.0,06:15,12.0,910.0
0,20192020,Toronto Maple Leafs,National Hockey League,2,2,1,23,16,23,0.0,3,0.0,0.0,-1.0,152:50,21.0,43.0,0.0,00:17,150:31,4.8,0.0,0.0,0.0,02:02,3.0,217.0
0,20202021,St. Louis Blues,National Hockey League,1,3,4,30,50,30,50.0,7,0.0,0.0,-5.0,496:35,65.0,69.0,0.0,02:09,471:56,6.2,0.0,0.0,1.0,22:30,17.0,687.0
0,20212022,St. Louis Blues,National Hockey League,1,1,0,0,2,0,100.0,1,0.0,0.0,-1.0,22:25,5.0,2.0,0.0,00:00,20:30,0.0,0.0,0.0,0.0,01:55,0.0,30.0
0,20212022,Toronto Maple Leafs,National Hockey League,2,2,1,31,23,31,33.33,3,0.0,0.0,-4.0,197:31,24.0,48.0,0.0,00:18,194:39,4.2,0.0,0.0,0.0,02:34,5.0,295.0
0,20212022,Toronto Marlies,AHL,13377,0,3,6,9,6,,3,,,-1.0,,,,,,,,,,,,,
