,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20132014,Niagara Falls Rivermen Mn Mdgt,SCTAMM,146924,19,8,68,39,68,0,27
0,20142015,Sault Ste. Marie Greyhounds,OHL,6209,4,2,4,11,4,2,6
0,20142015,Niagara Falls Canucks,GOJHL,26440,29,8,40,47,40,0,37
0,20152016,Soo Greyhounds,OHL,6918,20,1,23,58,23,3,21
0,20162017,Soo Greyhounds,OHL,6918,20,3,19,63,19,28,23
0,20172018,Soo Greyhounds,OHL,6918,44,12,18,63,18,39,56
0,20182019,Soo Greyhounds,OHL,6918,53,24,62,64,62,26,77
0,20192020,Toronto Marlies,AHL,13377,9,3,25,34,25,-9,12
0,20192020,Newfoundland Growlers,ECHL,258575,10,3,21,19,21,5,13
0,20202021,TUTO Hockey,Mestis,4717,4,2,6,6,6,0,6
0,20202021,Toronto Marlies,AHL,13377,8,2,10,27,10,-5,10
0,20212022,Toronto Marlies,AHL,13377,21,5,44,45,44,10,26
