,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20132014,Mille-Îles Seigneurs Bntm AAA R,QBAA,151841,1,1,2,4,2,2,
0,20142015,Mille-Îles Seigneurs U15 AAA,QBAAA,153046,13,12,38,32,38,25,
0,20152016,Mille-Îles Seigneurs M17 Espoir,QM17E,126121,0,0,2,1,2,0,
0,20152016,Mille-Îles Seigneurs M15 AAA,QM15AAA,154227,33,26,56,33,56,59,
0,20162017,Saint-Eustache Vikings,QM18AAA,55264,31,20,72,40,72,51,20.0
0,20162017,Team Québec White,QGC-16,154195,3,2,2,5,2,5,
0,20172018,Baie-Comeau Drakkar,QMJHL,9580,19,10,43,62,43,29,-4.0
0,20172018,Canada White U17,WHC-17,163790,1,2,8,6,8,3,
0,20172018,Team Gold,U17-Dev,178249,0,2,6,3,6,2,
0,20182019,Baie-Comeau Drakkar,QMJHL,9580,42,45,52,68,52,87,37.0
0,20182019,Canada U18,WJC-18,17193,0,4,4,7,4,4,3.0
0,20192020,Baie-Comeau Drakkar,QMJHL,9580,36,35,75,61,75,71,-24.0
0,20202021,Baie-Comeau Drakkar,QMJHL,9580,9,5,10,14,10,14,-1.0
0,20202021,Val-d'Or Foreurs,QMJHL,9680,13,11,21,19,21,24,19.0
0,20212022,Wilkes-Barre/Scranton Penguins,AHL,1077,9,7,30,57,30,16,-8.0
