,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Seafair,Minor-BC,1,32,58,34,43,34,90,,,,,,,,,,,,,,,,,
0,20122013,Greater Van.,BCMML,1,29,17,49,37,49,46,,,,,,,,,,,,,,,,,
0,20122013,Swift Current,WHL,2,0,0,0,2,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0,20132014,Swift Current,WHL,1,12,10,34,66,34,22,0.0,0.0,0.0,-11.0,,,,,,,,,,,,,
0,20142015,Swift Current,WHL,1,39,15,59,72,59,54,2.0,4.0,0.0,-9.0,,,,,,,,,,,,,
0,20152016,Swift Current,WHL,1,34,19,63,53,63,53,7.0,,0.0,7.0,,,,,,,,,,,,,
0,20152016,Swift Current Broncos,WHL,9491,34,19,63,53,63,53,,,,7.0,,,,,,,,,,,,,
0,20162017,Swift Current Broncos,WHL,9491,33,26,80,52,80,59,,,,21.0,,,,,,,,,,,,,
0,20172018,Swift Current Broncos,M-Cup,8971,1,2,6,3,6,3,,,,-3.0,,,,,,,,,,,,,
0,20172018,Swift Current Broncos,WHL,9491,69,56,101,67,101,125,,,,61.0,,,,,,,,,,,,,
0,20182019,Stockton Heat,AHL,186037,27,11,59,64,59,38,,,,0.0,,,,,,,,,,,,,
0,20192020,Stockton Heat,AHL,186037,31,16,28,53,28,47,,,,8.0,,,,,,,,,,,,,
0,20202021,Calgary Flames,National Hockey League,1,1,0,0,7,0,1,0.0,0.0,0.0,-1.0,48:28,1.0,12.0,0.0,01:11,47:17,54.29,0.0,0.0,0.0,00:00,1.0,77.0
0,20202021,Visp,SL,3927,0,0,0,1,0,0,,,,-1.0,,,,,,,,,,,,,
0,20202021,Stockton Heat,AHL,186037,9,4,23,22,23,13,,,,0.0,,,,,,,,,,,,,
0,20212022,Calgary Flames,National Hockey League,1,0,0,2,2,2,0,0.0,0.0,0.0,0.0,18:29,3.0,1.0,0.0,00:00,18:29,27.27,0.0,0.0,0.0,00:00,1.0,25.0
0,20212022,Stockton Heat,AHL,186037,35,15,75,62,75,50,,,,15.0,,,,,,,,,,,,,
