,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20032004,New Jersey Rockets 13U AAA,AYHL 13U,222349,15,20,50,25,50,35,,,,,,,,,,,,,,,,,
0,20042005,New Jersey Rockets 14U AAA,AYHL 14U,151590,18,15,32,25,32,33,,,,,,,,,,,,,,,,,
0,20052006,N.J. Rockets,AtJHL,1,10,2,42,38,42,12,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,,
0,20062007,N.J. Rockets,AtJHL,1,38,12,96,44,96,50,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,,
0,20062007,Indiana,USHL,2,0,0,6,2,6,0,,,,0.0,,,0.0,0.0,0.0,-2.0,,,,,,,
0,20072008,Indiana,USHL,1,31,12,72,59,72,43,,,,,,,7.0,2.0,1.0,11.0,,,,,,,
0,20082009,London,OHL,1,60,16,65,59,65,76,,,,,,,9.0,,1.0,23.0,,,,,,,
0,20092010,Washington Capitals,National Hockey League,1,5,1,8,22,8,6,335:25,01:20,327:23,0.0,06:42,398.0,0.0,0.0,0.0,11.0,21.0,29.0,0.0,4.76,0.0,0.0,32.0
0,20092010,Hershey,AHL,2,35,4,26,48,26,39,,,,,,,1.0,1.0,0.0,37.0,,,,,,,
0,20092010,U.S.A.,WJC-A,3,3,4,2,7,2,7,,,,0.0,,,,,,,,,,,,,
0,20102011,Washington Capitals,National Hockey League,1,30,7,44,82,44,37,1856:46,181:13,1484:45,0.0,190:48,2125.0,1.0,3.0,0.0,21.0,144.0,70.0,6.0,4.86,0.0,0.0,160.0
0,20112012,Washington Capitals,National Hockey League,1,23,9,22,82,22,32,1792:23,117:30,1472:42,0.0,202:11,2234.0,4.0,0.0,0.0,-15.0,152.0,83.0,7.0,5.92,0.0,1.0,153.0
0,20122013,Washington Capitals,National Hockey League,1,16,6,18,48,18,22,1105:00,107:09,859:10,100.0,138:41,1243.0,0.0,0.0,0.0,11.0,97.0,59.0,5.0,6.19,0.0,0.0,123.0
0,20132014,Washington Capitals,National Hockey League,1,27,10,22,82,22,37,2010:08,257:56,1445:09,0.0,307:03,2182.0,5.0,0.0,0.0,-3.0,208.0,64.0,22.0,4.81,0.0,1.0,177.0
0,20132014,U.S.A.,Olympics,2,1,1,0,6,0,2,,,,,,,0.0,0.0,0.0,1.0,5.0,,,,,,
0,20142015,Washington Capitals,National Hockey League,1,43,12,28,82,28,55,1891:58,142:32,1506:52,0.0,242:34,2343.0,3.0,3.0,1.0,11.0,193.0,74.0,16.0,6.22,0.0,1.0,200.0
0,20152016,Washington Capitals,National Hockey League,1,31,8,14,56,14,39,1327:17,184:53,1020:16,0.0,122:08,1591.0,2.0,4.0,0.0,16.0,124.0,46.0,14.0,6.45,1.0,1.0,114.0
0,20162017,Washington Capitals,National Hockey League,1,28,9,10,72,10,37,1635:06,190:25,1230:18,0.0,214:23,1916.0,3.0,3.0,0.0,7.0,180.0,58.0,16.0,5.0,0.0,1.0,127.0
0,20162017,USA,WCup,17286,0,0,0,2,0,0,,,,,,,,,,-3.0,,,,,,,
0,20172018,Washington Capitals,National Hockey League,1,53,15,32,82,32,68,2032:06,303:43,1512:54,0.0,215:29,2164.0,4.0,4.0,0.0,0.0,237.0,47.0,32.0,6.33,1.0,0.0,146.0
0,20182019,Washington Capitals,National Hockey League,1,57,13,34,80,34,70,2005:11,326:25,1472:33,0.0,206:13,2041.0,3.0,1.0,0.0,21.0,185.0,54.0,33.0,7.03,0.0,0.0,164.0
0,20192020,Washington Capitals,National Hockey League,1,60,15,26,69,26,75,1699:41,277:43,1318:55,0.0,103:03,1770.0,2.0,6.0,0.0,12.0,189.0,55.0,26.0,7.9,0.0,0.0,108.0
0,20202021,Washington Capitals,National Hockey League,1,34,10,12,52,12,44,1236:40,170:02,966:35,0.0,100:03,1364.0,3.0,1.0,0.0,-5.0,128.0,52.0,15.0,7.8,0.0,0.0,69.0
0,20212022,Washington Capitals,National Hockey League,1,54,17,20,78,20,71,1857:15,310:39,1412:16,0.0,134:20,2064.0,7.0,2.0,0.0,13.0,195.0,73.0,25.0,8.7,0.0,3.0,112.0
