,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,HV 71 U18,Swe-U18,1,11,15,14,30,14,0.0,26,,,,,,,,,,,,,,,,
0,20072008,HV 71 Jr.,Swe-Jr.,2,0,0,2,3,2,0.0,0,,,,,,,,,,,,,,,,
0,20082009,HV 71 U18,Swe-U18,1,2,2,2,3,2,0.0,4,,,,,,,,,,,,,,,,
0,20082009,HV 71 Jr.,Swe-Jr.,2,7,7,16,37,16,0.0,14,,,,,,,,,,,,,,,,
0,20092010,HV 71 Jr.,Swe-Jr.,1,26,23,10,37,10,0.0,49,,,,,,,,,,,,,,,,
0,20092010,HV 71,Sweden,2,0,0,0,2,0,0.0,0,,,,,,,,,,,,,,,,
0,20102011,HV 71,Sweden,1,9,7,6,36,6,,16,,,,,,,,,,,,,,,,
0,20102011,HV 71 Jr.,Swe-Jr.,2,7,3,4,6,4,,10,,,,,,,,,,,,,,,,
0,20102011,Sweden,WJC-A,3,2,4,0,6,0,,6,1.0,0.0,0.0,4.0,,,,,,,,,,,,
0,20112012,HV 71,Sweden,1,11,5,4,21,4,,16,,,,,,,,,,,,,,,,
0,20122013,HV 71,Sweden,1,17,18,4,47,4,,35,,,,,,,,,,,,,,,,
0,20122013,Connecticut,AHL,2,0,1,2,1,2,,1,1.0,1.0,0.0,-1.0,1.0,100.0,,,,,,,,,,
0,20132014,New York Rangers,National Hockey League,1,0,0,2,11,2,0.0,0,0.0,0.0,0.0,-5.0,7.0,0.0,124:11,20.0,0.0,02:53,105:10,0.0,0.0,16:08,7.0,180.0
0,20132014,Hartford,AHL,2,17,17,30,48,30,,34,8.0,6.0,0.0,14.0,76.0,22.4,,,,,,,,,,
0,20142015,New York Rangers,National Hockey League,1,8,6,8,58,8,20.0,14,0.0,0.0,0.0,-1.0,52.0,11.54,684:39,102.0,1.0,02:12,618:37,0.0,0.0,63:50,28.0,1030.0
0,20142015,Hartford,AHL,2,8,1,2,11,2,,9,0.0,1.0,0.0,-2.0,17.0,5.9,,,,,,,,,,
0,20152016,New York Rangers,National Hockey League,1,20,10,18,79,18,16.67,30,0.0,3.0,0.0,9.0,75.0,13.33,1180:07,109.0,0.0,17:23,990:36,0.0,0.0,172:08,55.0,1737.0
0,20162017,New York Rangers,National Hockey League,1,15,6,16,68,16,38.64,21,0.0,1.0,0.0,6.0,56.0,10.71,938:10,99.0,0.0,06:48,824:15,0.0,0.0,107:07,44.0,1409.0
0,20172018,New York Rangers,National Hockey League,1,20,13,26,71,26,36.84,33,0.0,0.0,0.0,-10.0,80.0,16.25,1056:36,130.0,0.0,03:52,916:46,0.0,2.0,135:58,44.0,1564.0
0,20182019,New York Rangers,National Hockey League,1,12,8,26,66,26,35.0,20,0.0,1.0,0.0,-3.0,80.0,10.0,1037:33,120.0,0.0,07:56,915:35,0.0,0.0,114:02,47.0,1420.0
0,20192020,New York Rangers,National Hockey League,1,17,12,20,69,20,34.62,29,0.0,1.0,2.0,16.0,84.0,14.3,1145:53,125.0,0.0,07:15,976:03,0.0,2.0,162:35,53.0,1520.0
0,20202021,Carolina Hurricanes,National Hockey League,1,13,6,14,46,14,34.21,19,1.0,1.0,0.0,-4.0,38.0,15.8,703:39,78.0,4.0,52:35,597:00,0.0,0.0,54:04,23.0,937.0
0,20212022,Carolina Hurricanes,National Hockey League,1,20,14,4,82,4,41.38,34,1.0,1.0,0.0,24.0,97.0,14.4,1214:28,109.0,2.0,22:54,1061:42,0.0,1.0,129:52,36.0,1686.0
