,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Syracuse,EmJHL,1,57,44,26,40,26,101,,,,,,,,,,,,,,,,,
0,20122013,USNTDP,USHL,1,6,4,24,38,24,10,63.0,0.0,6.3,0.0,0.0,-14.0,,,,,,,,,,,
0,20122013,USNTDP,U-17,2,9,7,8,18,8,16,,,,,,,,,,,,,,,,,
0,20132014,USNTDP,USHL,1,19,13,36,26,36,32,77.0,6.0,16.9,1.0,0.0,18.0,,,,,,,,,,,
0,20132014,USNTDP,U-18,2,15,16,36,35,36,31,,,,,,,,,,,,,,,,,
0,20132014,U.S.A.,WJ18-A,4,3,0,14,7,14,3,21.0,0.0,,0.0,0.0,5.0,,,,,,,,,,,
0,20142015,Boston College,H-East,1,14,14,28,37,28,28,,3.0,,2.0,0.0,,,,,,,,,,,,
0,20142015,U.S.A.,WJC-A,2,1,1,0,5,0,2,16.0,1.0,,0.0,0.0,-2.0,,,,,,,,,,,
0,20152016,Boston College,H-East,1,16,18,33,40,33,34,,2.0,,2.0,0.0,23.0,,,,,,,,,,,
0,20152016,Boston College,NCAA,9670,16,18,33,40,33,34,,,,,,23.0,,,,,,,,,,,
0,20162017,Minnesota Wild,National Hockey League,1,0,0,0,6,0,0,8.0,0.0,0.0,0.0,0.0,-3.0,64:13,5.0,0.0,00:00,64:13,0.0,0.0,0.0,00:00,7.0,86.0
0,20162017,Iowa Wild,AHL,149087,19,18,28,57,28,37,,,,,,10.0,,,,,,,,,,,
0,20172018,Vegas Golden Knights,National Hockey League,1,22,15,27,78,27,37,171.0,4.0,8.77,4.0,0.0,3.0,1189:42,99.0,10.0,181:56,1004:16,42.42,0.0,0.0,03:30,42.0,1366.0
0,20172018,Chicago Wolves,AHL,957,1,4,0,3,0,5,,,,,,2.0,,,,,,,,,,,
0,20182019,Vegas Golden Knights,National Hockey League,1,32,20,8,74,8,52,180.0,3.0,11.11,6.0,0.0,13.0,1237:47,92.0,6.0,184:31,1052:49,38.39,1.0,0.0,00:27,40.0,1344.0
0,20192020,Vegas Golden Knights,National Hockey League,1,9,8,8,42,8,17,98.0,3.0,8.2,2.0,0.0,-10.0,614:04,58.0,7.0,74:28,535:13,28.57,0.0,0.0,04:23,20.0,725.0
0,20202021,Vegas Golden Knights,National Hockey League,1,15,18,28,55,28,33,142.0,2.0,12.7,3.0,0.0,16.0,925:27,52.0,4.0,111:10,772:53,37.5,0.0,0.0,41:24,36.0,1169.0
0,20212022,Buffalo Sabres,National Hockey League,1,26,12,14,50,14,38,139.0,2.0,8.6,0.0,1.0,-3.0,920:25,32.0,8.0,143:40,704:16,39.13,0.0,1.0,72:29,49.0,1141.0
