,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20042005,Tor. Marlboros,GTHL,1,63,22,120,66,120,85,,,,,,,,,,,,,,,,,
0,20052006,St. Michael's,OPJHL,1,21,5,55,39,55,26,,,,,,,,,,,,,,,,,
0,20062007,St. Michael's,OPJHL,1,24,12,90,39,90,36,,,,,,,,,,,,,,,,,
0,20072008,U. Of Wisconsin,WCHA,1,10,2,26,22,26,12,,,,,,,,,,,,,,,,,
0,20082009,U. Of Wisconsin,WCHA,1,14,9,75,31,75,23,,,,,,,,,,,,,,,,,
0,20092010,U. Of Wisconsin,WCHA,1,37,15,76,42,76,52,,,,,,,,,,,,,,,,,
0,20102011,Grand Rapids,AHL,1,20,12,124,63,124,32,114.0,5.0,10.53,4.0,1.0,7.0,,,,,,,,,,,
0,20112012,Detroit Red Wings,National Hockey League,1,6,1,13,14,13,7,13.0,0.0,7.69,0.0,0.0,3.0,218:50,17.0,1.0,24:36,193:17,0.0,0.0,0.0,00:57,8.0,285.0
0,20112012,Grand Rapids,AHL,2,24,10,90,57,90,34,113.0,3.0,8.85,4.0,2.0,2.0,,,,,,,,,,,
0,20122013,Detroit Red Wings,National Hockey League,1,8,0,36,34,36,8,33.0,0.0,0.0,0.0,0.0,1.0,625:38,20.0,2.0,39:12,542:56,0.0,0.0,0.0,43:30,35.0,842.0
0,20122013,Grand Rapids,AHL,2,15,5,49,32,49,20,88.0,3.0,5.68,2.0,0.0,9.0,,,,,,,,,,,
0,20132014,Detroit Red Wings,National Hockey League,1,14,5,68,71,68,19,90.0,1.0,5.56,0.0,0.0,-2.0,1305:35,57.0,1.0,12:01,1236:14,0.0,0.0,0.0,57:20,69.0,1806.0
0,20142015,Detroit Red Wings,National Hockey League,1,9,4,68,76,68,13,88.0,0.0,4.55,1.0,0.0,-2.0,1359:43,60.0,2.0,17:38,1248:57,0.0,0.0,0.0,93:08,68.0,1944.0
0,20152016,Detroit Red Wings,National Hockey League,1,12,3,62,63,62,15,82.0,1.0,3.66,0.0,0.0,1.0,1109:00,94.0,1.0,38:37,997:16,0.0,0.0,0.0,73:07,42.0,1586.0
0,20162017,Detroit Red Wings,National Hockey League,1,3,2,34,33,34,5,39.0,1.0,5.13,1.0,0.0,-1.0,618:26,43.0,3.0,44:38,510:19,0.0,0.0,0.0,63:29,38.0,833.0
0,20162017,New York Rangers,National Hockey League,2,3,1,29,18,29,4,23.0,0.0,4.35,0.0,0.0,2.0,362:54,16.0,0.0,00:41,330:10,0.0,0.0,0.0,32:03,27.0,486.0
0,20172018,New York Rangers,National Hockey League,1,7,1,69,44,69,8,66.0,0.0,1.52,0.0,0.0,2.0,755:22,58.0,1.0,02:18,690:04,0.0,0.0,0.0,63:00,37.0,1061.0
0,20172018,Hartford Wolf Pack,AHL,847,2,0,8,11,8,2,,,,,,-11.0,,,,,,,,,,,
0,20182019,New York Rangers,National Hockey League,1,9,4,71,63,71,13,66.0,0.0,6.06,0.0,0.0,-7.0,963:38,100.0,0.0,02:42,860:07,0.0,0.0,1.0,100:49,48.0,1291.0
0,20192020,New York Rangers,National Hockey League,1,5,3,71,62,71,8,45.0,0.0,6.7,0.0,1.0,-12.0,688:18,90.0,0.0,03:07,557:05,100.0,0.0,2.0,128:06,41.0,955.0
0,20202021,New York Rangers,National Hockey League,1,5,5,73,48,73,10,58.0,0.0,8.6,0.0,0.0,3.0,788:50,84.0,0.0,08:25,720:37,0.0,0.0,0.0,59:48,41.0,1045.0
0,20212022,Carolina Hurricanes,National Hockey League,1,4,4,36,45,36,8,63.0,0.0,6.3,1.0,0.0,6.0,626:19,73.0,0.0,00:39,577:40,0.0,0.0,0.0,48:00,40.0,855.0
