,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20032004,Cumberland Barons Min. Midget AA,OEMMHL AA,10154396,28,31,28,39,28,0.0,59,,,,,,,,,,,,,,,,
0,20042005,Cumberland,CJHL,1,27,13,30,48,30,,40,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20052006,Gatineau,QMJHL,1,64,39,64,69,64,30.0,103,00:00,00:00,00:00,0.0,00:00,0.0,14.0,4.0,4.0,,,,,,,
0,20062007,Gatineau,QMJHL,1,64,48,49,63,49,12.0,112,,,,,,,20.0,10.0,2.0,,,,,,,
0,20062007,Philadelphia,AHL,2,1,1,6,5,6,-2.0,2,,,,,,,0.0,0.0,0.0,,,,,,,
0,20072008,Philadelphia Flyers,National Hockey League,1,0,0,0,2,0,-2.0,0,19:09,02:38,16:31,0.0,00:00,26.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
0,20072008,Gatineau,QMJHL,2,68,38,37,55,37,40.0,106,,,,,,,8.0,,6.0,,,,,,,
0,20072008,Canada,WJC-A,3,4,2,8,7,8,,6,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20082009,Philadelphia Flyers,National Hockey League,1,18,9,14,42,14,10.0,27,636:42,58:06,545:21,47.25,33:15,808.0,2.0,0.0,0.0,67.0,41.0,6.0,13.43,0.0,0.0,18.0
0,20082009,Philadelphia,AHL,2,17,17,22,33,22,5.0,34,,,,,,,6.0,5.0,1.0,,,,,,,
0,20092010,Philadelphia Flyers,National Hockey League,1,31,16,23,82,23,-9.0,47,1362:18,226:02,1062:38,49.5,73:38,1787.0,8.0,2.0,0.0,145.0,76.0,21.0,11.03,0.0,0.0,48.0
0,20102011,Philadelphia Flyers,National Hockey League,1,51,25,47,82,47,20.0,76,1590:37,251:32,1166:22,50.05,172:43,2065.0,8.0,5.0,3.0,169.0,117.0,19.0,14.79,0.0,7.0,44.0
0,20112012,Philadelphia Flyers,National Hockey League,1,65,28,29,77,29,6.0,93,1658:54,301:21,1185:07,53.66,172:26,1949.0,6.0,5.0,0.0,242.0,70.0,38.0,11.57,2.0,2.0,44.0
0,20122013,Philadelphia Flyers,National Hockey League,1,35,13,22,48,22,-7.0,48,1016:14,176:45,757:35,54.48,81:54,1252.0,6.0,2.0,1.0,137.0,57.0,21.0,9.49,0.0,1.0,29.0
0,20122013,Canada,WC-A,2,5,3,12,8,12,4.0,8,,,,,,,2.0,0.0,0.0,,,,,,,
0,20122013,Eisbaren Berlin,Germany,3,15,4,6,9,6,,19,,,,,,,,,,,,,,,,
0,20132014,Philadelphia Flyers,National Hockey League,1,58,28,46,82,46,7.0,86,1675:38,307:20,1290:55,52.9,77:23,2062.0,7.0,7.0,0.0,223.0,90.0,37.0,12.56,1.0,0.0,46.0
0,20142015,Philadelphia Flyers,National Hockey League,1,48,25,36,81,36,-3.0,73,1665:46,267:36,1336:20,56.6,61:50,2134.0,14.0,4.0,0.0,279.0,110.0,37.0,8.96,2.0,0.0,28.0
0,20142015,Canada,WC-A,2,7,3,4,10,4,11.0,10,,,,,,,2.0,0.0,0.0,29.0,,,,,,
0,20152016,Philadelphia Flyers,National Hockey League,1,45,22,53,78,53,-8.0,67,1602:37,300:39,1186:50,57.47,115:08,2124.0,6.0,5.0,1.0,241.0,83.0,27.0,9.13,2.0,2.0,36.0
0,20162017,Philadelphia Flyers,National Hockey League,1,44,14,38,82,38,-15.0,58,1568:02,307:05,1240:04,55.89,20:53,2048.0,5.0,3.0,0.0,199.0,68.0,31.0,7.04,2.0,1.0,28.0
0,20162017,Canada,WC,17155,4,2,4,10,4,6.0,6,,,,,,,,,,,,,,,,
0,20162017,Canada,WCup,17216,0,0,0,1,0,0.0,0,,,,,,,,,,,,,,,,
0,20172018,Philadelphia Flyers,National Hockey League,1,68,34,20,82,20,28.0,102,1669:48,285:14,1319:23,58.64,65:11,2074.0,9.0,1.0,0.0,193.0,30.0,36.0,17.62,1.0,0.0,23.0
0,20182019,Philadelphia Flyers,National Hockey League,1,63,22,24,82,24,9.0,85,1759:27,288:24,1328:49,57.9,142:14,2138.0,2.0,4.0,1.0,229.0,28.0,23.0,9.61,1.0,1.0,19.0
0,20192020,Philadelphia Flyers,National Hockey League,1,32,21,28,69,28,7.0,53,1309:57,214:13,1031:39,59.04,64:05,1814.0,7.0,6.0,1.0,197.0,45.0,20.0,10.7,0.0,2.0,16.0
0,20202021,Philadelphia Flyers,National Hockey League,1,27,16,12,54,12,-4.0,43,977:42,141:40,796:31,59.61,39:31,1379.0,1.0,2.0,0.0,120.0,32.0,11.0,13.3,0.0,0.0,6.0
0,20212022,Philadelphia Flyers,National Hockey League,1,24,18,20,57,20,-12.0,42,1096:09,177:16,872:20,60.89,46:33,1481.0,3.0,0.0,0.0,154.0,48.0,12.0,11.7,0.0,0.0,15.0
0,20212022,Florida Panthers,National Hockey League,2,20,3,6,18,6,7.0,23,334:06,64:23,254:45,57.94,14:58,383.0,2.0,0.0,0.0,51.0,20.0,11.0,5.9,0.0,0.0,1.0
