,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20152016,Kiekko-Laser U16,U16 SM-sarja,81433,1,2,0,3,0,3,
0,20162017,Kärpät U18,U18 SM-sarja,26831,0,0,0,1,0,0,
0,20162017,Kärpät U16,U16 SM-sarja,81423,18,17,10,16,10,35,
0,20172018,Kärpät U18,U18 SM-sarja,26831,23,20,24,47,24,43,
0,20182019,Kärpät,Liiga,919,0,0,0,1,0,0,0.0
0,20182019,Finland U18,WJC-18,17093,3,1,0,5,0,4,3.0
0,20182019,Kärpät U20,U20 SM-sarja,23090,45,15,26,51,26,60,19.0
0,20192020,Kärpät,Champions HL,542,1,2,0,2,0,3,3.0
0,20192020,Kärpät,Liiga,919,0,0,0,5,0,0,-1.0
0,20192020,Hermes,Mestis,4657,0,1,0,2,0,1,1.0
0,20192020,Kärpät U20,JCWC,22350,7,4,4,5,4,11,1.0
0,20192020,Kärpät U20,U20 SM-sarja,23090,34,27,18,43,18,61,20.0
0,20202021,Kärpät,Liiga,919,9,9,57,37,57,18,10.0
0,20202021,Kärpät U20,U20 SM-sarja,23090,6,3,2,9,2,9,2.0
0,20212022,Kärpät,Liiga,919,3,4,12,28,12,7,-3.0
0,20212022,Kärpät U20,U20 SM-sarja,23090,2,0,2,5,2,2,0.0
