,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,shortHandedGoals,shots,shotPct,gameWinningGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Winnipeg Monarchs Bantam AAA,WBAAA,129109,53,16,74,29,74,0.0,69,,,,,,,,,,,,,,,,
0,20102011,Wpg. Wild,MMHL,1,22,16,35,41,35,,38,,,,,,,,,,,,,,,,
0,20102011,Kelowna,WHL,2,1,0,4,3,4,2.0,1,0.0,0.0,,,,,,,,,,,,,,
0,20112012,Kelowna,WHL,1,13,8,39,57,39,3.0,21,4.0,1.0,,,,,,,,,,,,,,
0,20122013,Kelowna,WHL,1,18,12,75,69,75,41.0,30,3.0,0.0,,,,,,,,,,,,,,
0,20122013,Canada,WJ18-A,2,2,2,6,7,6,3.0,4,1.0,0.0,18.0,11.11,0.0,,,,,,,,,,,
0,20132014,Kelowna,WHL,1,39,21,93,72,93,44.0,60,6.0,0.0,,,,,,,,,,,,,,
0,20142015,Canada,WJC-A,1,3,1,2,7,2,8.0,4,1.0,0.0,17.0,,0.0,,,,,,,,,,,
0,20142015,Kelowna,WHL,2,43,17,66,58,66,38.0,60,6.0,2.0,,,3.0,,,,,,,,,,,
0,20152016,Hershey,AHL,1,25,4,58,70,58,22.0,29,1.0,0.0,94.0,4.3,0.0,,,,,,,,,,,
0,20152016,Hershey Bears,AHL,997,25,4,58,70,58,22.0,29,,,,,,,,,,,,,,,,
0,20162017,Hershey Bears,AHL,997,11,3,28,34,28,6.0,14,,,,,,,,,,,,,,,,
0,20172018,Washington Capitals,National Hockey League,1,12,0,24,51,24,-3.0,12,0.0,0.0,47.0,0.0,0.0,699:23,48.0,0.0,00:56,683:51,0.0,0.0,0.0,14:36,42.0,862.0
0,20172018,Hershey Bears,AHL,997,6,2,6,9,6,-1.0,8,,,,,,,,,,,,,,,,
0,20182019,Washington Capitals,National Hockey League,1,5,1,38,33,38,3.0,6,0.0,0.0,34.0,2.94,1.0,453:39,47.0,0.0,01:32,429:54,0.0,0.0,0.0,22:13,41.0,577.0
0,20182019,Detroit Red Wings,National Hockey League,2,3,1,8,17,8,-4.0,4,0.0,0.0,14.0,7.14,0.0,309:16,25.0,0.0,00:31,283:09,0.0,0.0,0.0,25:36,22.0,393.0
0,20192020,Detroit Red Wings,National Hockey League,1,14,3,34,53,34,-16.0,17,0.0,0.0,70.0,4.3,0.0,949:07,53.0,1.0,36:16,840:53,0.0,0.0,0.0,71:58,58.0,1211.0
0,20192020,Grand Rapids Griffins,AHL,987,1,0,2,1,2,1.0,1,,,,,,,,,,,,,,,,
0,20202021,Chicago Blackhawks,National Hockey League,1,1,0,0,2,0,1.0,1,0.0,0.0,0.0,0.0,0.0,22:17,4.0,0.0,00:00,22:04,0.0,0.0,0.0,00:13,1.0,28.0
0,20202021,Rockford IceHogs,AHL,8267,0,0,6,2,6,-2.0,0,,,,,,,,,,,,,,,,
0,20212022,Vancouver Canucks,National Hockey League,1,0,0,0,2,0,-3.0,0,0.0,0.0,0.0,0.0,0.0,31:28,4.0,0.0,00:00,26:53,0.0,0.0,0.0,04:35,2.0,46.0
0,20212022,Abbotsford Canucks,AHL,33767,20,8,80,53,80,18.0,28,,,,,,,,,,,,,,,,
