,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Duluth East,High-MN,1,11,8,12,31,12,19,,,,,,,,,,,,,,,,,
0,20102011,Team North,UMHSEL,1,8,11,12,24,12,19,,,,,,,,,,,,,,,,,
0,20102011,Duluth East,High-MN,2,33,28,12,29,12,61,,,,,,,,,,,,,,,,,
0,20112012,Team North,UMHSEL,1,15,10,30,24,30,25,,,,,,,,,,,,,,,,,
0,20112012,Duluth East,High-MN,2,40,33,32,31,32,73,,,,,,,,,,,,,,,,,
0,20112012,Fargo,USHL,3,0,1,2,4,2,1,10.0,0.0,10.0,0.0,0.0,-1.0,,,,,,,,,,,
0,20122013,Fargo,USHL,1,41,29,50,64,50,70,211.0,4.0,13.74,7.0,0.0,29.0,,,,,,,,,,,
0,20132014,U. Minn-Duluth,NCHC,1,8,7,51,35,51,15,,0.0,,0.0,2.0,,,,,,,,,,,,
0,20142015,U. Minn-Duluth,NCHC,1,10,16,58,34,58,26,,3.0,,1.0,2.0,,,,,,,,,,,,
0,20152016,U. Minn-Duluth,NCHC,1,6,15,36,40,36,21,113.0,3.0,,4.0,0.0,5.0,,,,,,,,,,,
0,20152016,Univ. of Minnesota-Duluth,NCAA,18500,6,15,36,40,36,21,,,,,,5.0,,,,,,,,,,,
0,20162017,Univ. of Minnesota-Duluth,NCAA,18500,13,16,30,42,30,29,,,,,,25.0,,,,,,,,,,,
0,20172018,Colorado Avalanche,National Hockey League,1,2,0,12,37,12,2,25.0,0.0,0.0,0.0,0.0,0.0,292:13,24.0,0.0,01:20,283:23,41.71,0.0,0.0,07:30,14.0,427.0
0,20172018,San Antonio Rampage,AHL,8497,5,7,24,31,24,12,,,,,,2.0,,,,,,,,,,,
0,20182019,Colorado Avalanche,National Hockey League,1,0,1,0,2,0,1,1.0,0.0,100.0,0.0,0.0,0.0,13:24,0.0,0.0,00:00,12:56,0.0,0.0,0.0,00:28,1.0,21.0
0,20182019,Colorado Eagles,AHL,8957,15,14,43,57,43,29,,,,,,8.0,,,,,,,,,,,
0,20192020,Florida Panthers,National Hockey League,1,7,4,37,46,37,11,38.0,0.0,10.5,0.0,0.0,4.0,512:32,57.0,0.0,04:50,487:41,47.06,0.0,0.0,20:01,28.0,711.0
0,20192020,Springfield Thunderbirds,AHL,39667,3,5,18,15,18,8,,,,,,3.0,,,,,,,,,,,
0,20202021,Winnipeg Jets,National Hockey League,1,1,0,0,2,0,1,2.0,0.0,0.0,0.0,0.0,0.0,25:19,4.0,0.0,00:00,24:33,0.0,0.0,0.0,00:46,1.0,30.0
0,20202021,Manitoba Moose,AHL,877,0,3,2,3,2,3,,,,,,3.0,,,,,,,,,,,
0,20212022,Winnipeg Jets,National Hockey League,1,7,7,22,77,22,14,44.0,0.0,15.9,1.0,1.0,1.0,646:41,92.0,1.0,03:14,531:12,42.44,0.0,4.0,112:15,32.0,962.0
0,20212022,Manitoba Moose,AHL,877,1,0,2,2,2,1,,,,,,0.0,,,,,,,,,,,
