,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20122013,Collège de Lévis M15 Maj,LHPS M15 Majeur,197161,20,1,12,29,12,21,
0,20122013,Collège de Lévis M15 Min,LHPS M15 Mineur,266952,3,0,0,2,0,3,
0,20132014,Collège de Lévis M17 Maj,LHPS M17 Majeur,174949,15,5,8,23,8,20,
0,20132014,Collège de Lévis M15 Maj,LHPS M15 Majeur,197161,17,10,19,21,19,27,
0,20142015,Lévis Chevaliers,QMAAA,65533,8,3,10,42,10,11,18.0
0,20152016,Chicoutimi Saguenéens,QMJHL,6090,3,1,8,42,8,4,2.0
0,20152016,Canada White U17,WHC-17,163790,1,0,2,6,2,1,
0,20152016,Team White,U17-Dev,178269,1,2,0,3,0,3,
0,20162017,Chicoutimi Saguenéens,QMJHL,6090,9,3,19,59,19,12,-1.0
0,20172018,Chicoutimi Saguenéens,QMJHL,6090,11,4,18,63,18,15,-4.0
0,20182019,Chicoutimi Saguenéens,QMJHL,6090,15,8,16,57,16,23,11.0
0,20182019,Binghamton Devils,AHL,233827,1,1,0,5,0,2,-2.0
0,20192020,Adirondack Thunder,ECHL,185555,0,0,0,5,0,0,-4.0
0,20192020,Binghamton Devils,AHL,233827,7,0,18,32,18,7,-2.0
0,20202021,Binghamton Devils,AHL,233827,0,0,10,21,10,0,-11.0
0,20212022,Utica Comets,AHL,152247,7,2,18,50,18,9,-3.0
