,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20132014,Boro/Vetlanda U16,U16 Div.2,175650,10,15,42,14,42,25,
0,20142015,Boro/Vetlanda J18,J18 Div.1,25568,19,13,42,20,42,32,
0,20142015,Boro/Vetlanda J20,J20 Div.1,25579,9,20,30,22,30,29,
0,20152016,Boro/Vetlanda HC,Division 2,4979,3,4,2,20,2,7,
0,20152016,Boro/Vetlanda HC J18,J18 Div.1,25780,8,13,12,11,12,21,
0,20152016,Boro/Vetlanda HC J20,J20 Div.1,25795,4,4,6,6,6,8,
0,20162017,Boro/Vetlanda HC,Division 2,4979,23,21,32,31,32,44,
0,20162017,Boro/Vetlanda HC J18,J18 Div.1,25780,5,5,6,3,6,10,
0,20162017,Boro/Vetlanda HC J20,J20 Div.1,25795,4,2,27,3,27,6,
0,20172018,Karlskrona HK,SHL,5889,1,0,2,13,2,1,-3.0
0,20172018,Karlskrona HK J20,J20 Nationell,26099,25,27,26,42,26,52,11.0
0,20182019,Karlskrona HK,HockeyAllsvenskan,6320,13,5,59,52,59,18,7.0
0,20182019,Karlskrona HK J20,J20 Nationell,26099,2,0,0,1,0,2,2.0
0,20192020,BIK Karlskoga,HockeyAllsvenskan,1480,12,6,0,12,0,18,0.0
0,20192020,Karlskrona HK,HockeyAllsvenskan,6320,14,8,18,36,18,22,-7.0
0,20202021,BIK Karlskoga,HockeyAllsvenskan,1480,31,20,32,52,32,51,26.0
0,20212022,Skellefteå AIK,Champions HL,332,1,1,2,8,2,2,0.0
0,20212022,Skellefteå AIK,SHL,1019,20,26,18,52,18,46,10.0
