,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Upper Canada,Minor-ON,1,21,6,20,54,20,27,,,,,,,,,,,,,,,,,
0,20082009,Kemptville,CJHL,2,0,0,2,4,2,0,0.0,0.0,0.0,,,,,,,,,,,,,,
0,20092010,Kemptville,CJHL,1,18,16,6,60,6,34,4.0,1.0,0.0,,,,,,,,,,,,,,
0,20102011,Kemptville,CJHL,1,27,8,28,61,28,35,2.0,0.0,1.0,,,,,,,,,,,,,,
0,20112012,Kemptville,CJHL,1,20,7,25,35,25,27,4.0,0.0,0.0,,,,,,,,,,,,,,
0,20112012,Nepean,CJHL,2,12,4,6,22,6,16,2.0,3.0,0.0,,,,,,,,,,,,,,
0,20122013,U. of Maine,H-East,1,11,4,18,34,18,15,2.0,2.0,0.0,,,,,,,,,,,,,,
0,20132014,U. of Maine,H-East,1,14,15,8,35,8,29,9.0,2.0,1.0,,,,,,,,,,,,,,
0,20142015,U. of Maine,H-East,1,12,9,14,39,14,21,2.0,1.0,1.0,,,,,,,,,,,,,,
0,20142015,Utica,AHL,2,0,1,2,4,2,1,0.0,1.0,0.0,4.0,25.0,1.0,,,,,,,,,,,
0,20152016,Vancouver Canucks,National Hockey League,1,24,1,14,75,14,25,0.0,0.0,0.0,104.0,0.96,-21.0,1490:30,42.0,7.0,171:13,1250:55,0.0,0.0,0.0,68:22,100.0,1968.0
0,20152016,Canada,WC-A,2,1,0,0,5,0,1,0.0,0.0,0.0,3.0,0.0,3.0,,,,,,,,,,,
0,20152016,Canada,WC,17155,1,0,0,5,0,1,,,,,,3.0,,,,,,,,,,,
0,20162017,Vancouver Canucks,National Hockey League,1,14,5,31,71,31,19,2.0,1.0,0.0,130.0,3.85,-22.0,1455:17,46.0,11.0,146:06,1270:54,0.0,1.0,0.0,38:17,106.0,1780.0
0,20172018,Vancouver Canucks,National Hockey League,1,6,0,23,61,23,6,0.0,0.0,0.0,103.0,0.0,-9.0,1123:17,40.0,2.0,58:30,967:34,0.0,0.0,1.0,97:13,68.0,1458.0
0,20182019,Vancouver Canucks,National Hockey League,1,15,5,43,69,43,20,1.0,1.0,0.0,114.0,4.39,-23.0,1542:33,55.0,8.0,127:54,1256:31,0.0,0.0,1.0,158:08,102.0,1908.0
0,20192020,Los Angeles Kings,National Hockey League,1,12,4,14,65,14,16,0.0,1.0,0.0,114.0,3.5,5.0,1186:59,51.0,0.0,08:17,1086:51,0.0,0.0,0.0,91:51,76.0,1416.0
0,20202021,Anaheim Ducks,National Hockey League,1,4,1,11,34,11,5,0.0,0.0,0.0,51.0,2.0,-13.0,629:19,37.0,0.0,01:26,540:48,0.0,0.0,0.0,87:05,36.0,821.0
0,20202021,Toronto Maple Leafs,National Hockey League,2,0,0,0,4,0,0,0.0,0.0,0.0,3.0,0.0,0.0,72:07,7.0,0.0,00:19,69:53,0.0,0.0,0.0,01:55,3.0,88.0
0,20212022,Vegas Golden Knights,National Hockey League,1,10,3,32,58,32,13,0.0,0.0,0.0,78.0,3.8,7.0,896:59,49.0,0.0,01:22,853:43,0.0,0.0,0.0,41:54,72.0,1148.0
