,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Det. Compuware,MWEHL,1,21,17,30.0,30,30,0.0,38,,,,,,,,,,,,,,,,
0,20072008,Det. Compuware,Minor-MI,2,35,29,,42,,0.0,64,,,,,,,,,,,,,,,,
0,20082009,USNTDP,NAHL,1,5,11,55.0,36,55,,16,,,,,,,,,,,,,,,,
0,20082009,USNTDP,U-17,2,6,8,,12,,0.0,14,,,,,,,,,,,,,,,,
0,20082009,USNTDP,U-18,3,6,2,8.0,16,8,0.0,8,,,,,,,,,,,,,,,,
0,20082009,United States,WJ18-A,7,5,1,0.0,7,0,0.0,6,,,,,,,,,,,,,,,,
0,20092010,USNTDP,USHL,1,7,11,23.0,22,23,0.0,18,,,,,,,,,,,,,,,,
0,20092010,USNTDP,U-18,2,17,18,24.0,38,24,0.0,35,,,,,,,,,,,,,,,,
0,20092010,U.S.A.,WJ18-A,3,3,4,2.0,7,2,0.0,7,,,,,,,,,,,,,,,,
0,20092010,U.S.A.,WJC-A,4,0,2,2.0,7,2,,2,0.0,1.0,0.0,0.0,,,,,,,,,,,,
0,20102011,U. of Denver,WCHA,1,22,23,59.0,40,59,,45,2.0,7.0,1.0,,,,,,,,,,,,,
0,20102011,U.S.A.,WJC-A,2,0,1,0.0,4,0,,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20112012,Minnesota Wild,National Hockey League,1,2,0,2.0,6,2,0.0,2,0.0,0.0,0.0,-2.0,66:09,10.0,5.0,0.0,01:47,64:22,0.0,0.0,0.0,00:00,2.0,86.0
0,20112012,U.S.A.,WJC-A,2,4,3,2.0,6,2,,7,0.0,0.0,1.0,1.0,,,,,,,,,,,,
0,20112012,U. of Denver,WCHA,3,24,22,38.0,38,38,,46,9.0,3.0,0.0,,,,,,,,,,,,,
0,20122013,Minnesota Wild,National Hockey League,1,1,4,8.0,20,8,0.0,5,0.0,0.0,0.0,4.0,225:18,34.0,11.0,0.0,06:31,218:47,11.76,0.0,0.0,00:00,5.0,312.0
0,20122013,Houston,AHL,2,26,24,43.0,55,43,,50,12.0,8.0,1.0,-6.0,,205.0,,,,,11.71,,,,,
0,20132014,Minnesota Wild,National Hockey League,1,1,4,2.0,21,2,0.0,5,1.0,1.0,0.0,2.0,272:44,40.0,16.0,2.0,17:24,252:51,10.0,0.0,0.0,02:29,11.0,371.0
0,20132014,Iowa,AHL,2,5,8,55.0,22,55,,13,4.0,1.0,0.0,-8.0,,80.0,,,,,10.0,,,,,
0,20142015,Minnesota Wild,National Hockey League,1,5,21,18.0,51,18,28.57,26,1.0,3.0,1.0,-9.0,768:02,124.0,67.0,1.0,43:17,667:16,16.94,0.0,1.0,57:29,13.0,1026.0
0,20152016,Minnesota Wild,National Hockey League,1,10,13,20.0,71,20,100.0,23,0.0,1.0,1.0,-4.0,1106:07,158.0,83.0,2.0,65:20,1005:28,8.23,1.0,2.0,35:19,33.0,1410.0
0,20162017,Minnesota Wild,National Hockey League,1,25,22,30.0,79,30,20.0,47,1.0,3.0,0.0,34.0,1207:35,172.0,73.0,1.0,19:42,1139:28,12.79,0.0,0.0,48:25,42.0,1600.0
0,20172018,Minnesota Wild,National Hockey League,1,31,33,44.0,82,44,22.22,64,7.0,7.0,1.0,8.0,1390:48,222.0,80.0,16.0,179:39,1162:45,14.86,0.0,2.0,48:24,47.0,1686.0
0,20182019,Minnesota Wild,National Hockey League,1,21,21,28.0,81,28,15.38,42,7.0,5.0,0.0,-9.0,1383:27,214.0,87.0,14.0,181:26,1187:11,9.81,1.0,0.0,14:50,38.0,1635.0
0,20192020,Minnesota Wild,National Hockey League,1,15,14,19.0,45,19,30.0,29,5.0,2.0,0.0,-3.0,715:16,75.0,35.0,9.0,104:36,604:48,18.7,0.0,0.0,05:52,20.0,854.0
0,20192020,Pittsburgh Penguins,National Hockey League,2,6,6,2.0,15,2,0.0,12,2.0,2.0,0.0,-1.0,264:58,36.0,18.0,3.0,32:33,232:01,16.7,0.0,0.0,00:24,3.0,331.0
0,20202021,Pittsburgh Penguins,National Hockey League,1,9,9,21.0,38,21,30.0,18,1.0,1.0,0.0,-8.0,596:08,67.0,69.0,4.0,50:09,544:50,13.4,0.0,0.0,01:09,15.0,811.0
0,20212022,Pittsburgh Penguins,National Hockey League,1,9,8,15.0,41,15,26.67,17,2.0,0.0,0.0,-2.0,607:38,102.0,66.0,2.0,61:58,545:08,7.8,0.0,0.0,00:32,20.0,739.0
