,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,faceOffPct,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,shifts
0,20042005,Malmö Redhawks U16,U16 SM,44057,2,0,4,3,4,2,,,,,,,,,,,,,,,,,
0,20052006,Malmo U18,Swe-U18,1,7,0,0,12,0,7,0.0,,,,,,,,,,,,,,,,
0,20062007,Farjestad U18,Swe-U18,1,9,5,8,12,8,14,0.0,,,,,,,,,,,,,,,,
0,20062007,Sweden,WJ18-A,5,4,0,0,6,0,4,0.0,,,,,,,,,,,,,,,,
0,20072008,Farjestad U18,Swe-U18,1,26,12,16,24,16,38,0.0,,,,,,,,,,,,,,,,
0,20072008,Skare ,Sweden-3,2,10,2,10,19,10,12,0.0,,,,,,,,,,,,,,,,
0,20072008,Sweden,WJ18-A,4,2,3,14,6,14,5,0.0,,,,,,,,,,,,,,,,
0,20082009,Farjestad U18,Swe-U18,1,0,2,0,2,0,2,0.0,,,,,,,,,,,,,,,,
0,20082009,Skare,Sweden-3,2,5,5,0,5,0,10,0.0,,,,,,,,,,,,,,,,
0,20082009,Farjestad,Sweden,3,5,5,10,45,10,10,0.0,,,,,,,,,,,,,,,,
0,20082009,Sweden,WJC-A,4,0,2,0,6,0,2,0.0,,,,,,,,,,,,,,,,
0,20092010,Farjestad,Sweden,1,10,10,10,42,10,20,,,,,,,,,,,,,,,,,
0,20092010,Sweden,WJC-A,3,5,1,29,5,29,6,0.0,,,,,,,,,,,,,,,,
0,20102011,Washington Capitals,National Hockey League,1,14,13,10,69,10,27,40.51,1015:54,102.0,47.0,2.0,3.0,65:53,868:30,12.75,2.0,0.0,1.0,1.0,81:31,22.0,2.0,1301.0
0,20102011,Hershey,AHL,2,0,0,0,2,0,0,,,3.0,,0.0,,,,0.0,0.0,,0.0,,,,1.0,
0,20112012,Washington Capitals,National Hockey League,1,32,14,8,80,8,46,43.24,1344:17,90.0,61.0,1.0,8.0,183:11,1117:50,15.56,3.0,0.0,0.0,0.0,43:16,28.0,-5.0,1584.0
0,20122013,Washington Capitals,National Hockey League,1,16,6,4,34,4,22,45.98,563:55,40.0,14.0,3.0,4.0,56:15,475:02,15.0,1.0,0.0,0.0,1.0,32:38,6.0,3.0,705.0
0,20122013,Bofors,Sweden-2,2,10,8,8,16,8,18,,,,,,,,,,,,,,,,,
0,20132014,Washington Capitals,National Hockey League,1,36,8,4,80,4,44,34.67,1403:04,107.0,49.0,6.0,21.0,240:10,1136:36,7.48,1.0,0.0,0.0,0.0,26:18,27.0,-21.0,1722.0
0,20132014,Sweden,Olympics,2,1,0,4,5,4,1,,,5.0,,0.0,,,,,0.0,,0.0,,,,1.0,
0,20142015,Washington Capitals,National Hockey League,1,27,20,10,82,10,47,43.75,1350:57,138.0,69.0,3.0,15.0,239:40,1108:15,14.49,1.0,0.0,0.0,0.0,03:02,18.0,6.0,1614.0
0,20152016,Washington Capitals,National Hockey League,1,29,17,16,74,16,46,46.04,1231:20,132.0,38.0,6.0,14.0,202:38,1025:03,12.88,7.0,0.0,0.0,0.0,03:39,24.0,12.0,1460.0
0,20162017,Washington Capitals,National Hockey League,1,34,24,10,82,10,58,46.43,1393:30,129.0,32.0,5.0,19.0,231:22,1159:31,18.6,5.0,2.0,0.0,0.0,02:37,22.0,25.0,1613.0
0,20172018,New Jersey Devils,National Hockey League,1,9,5,14,29,14,14,48.65,463:45,42.0,8.0,1.0,3.0,83:51,377:13,11.9,0.0,0.0,0.0,0.0,02:41,9.0,-11.0,533.0
0,20182019,New Jersey Devils,National Hockey League,1,15,12,8,48,8,27,31.82,789:27,103.0,23.0,2.0,9.0,128:58,658:37,11.65,1.0,0.0,0.0,0.0,01:52,18.0,-15.0,944.0
0,20182019,Boston Bruins,National Hockey League,2,2,1,0,10,0,3,33.33,134:07,12.0,5.0,0.0,0.0,15:07,119:00,8.33,0.0,0.0,0.0,0.0,00:00,6.0,-1.0,162.0
0,20192020,Buffalo Sabres,National Hockey League,1,21,9,20,60,20,30,40.0,1028:50,87.0,39.0,1.0,6.0,147:52,861:33,10.3,1.0,1.0,0.0,0.0,19:25,22.0,-12.0,1259.0
0,20202021,Minnesota Wild,National Hockey League,1,8,6,4,36,4,14,37.65,573:42,46.0,12.0,2.0,6.0,65:06,463:05,13.0,3.0,1.0,0.0,0.0,45:31,12.0,-10.0,698.0
0,20212022,Seattle Kraken,National Hockey League,1,17,6,4,51,4,23,38.75,845:39,81.0,17.0,3.0,9.0,133:43,711:05,7.4,1.0,0.0,0.0,0.0,00:51,18.0,-22.0,1057.0
0,20212022,Washington Capitals,National Hockey League,2,3,3,0,18,0,6,55.56,267:13,30.0,14.0,0.0,1.0,37:11,230:01,10.0,1.0,0.0,0.0,0.0,00:01,8.0,-4.0,322.0
