,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,shortHandedGoals,plusMinus,shots,shotPct,gameWinningGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Tor. Jr. Canadiens,GTHL,1,106,68,72,83,72,0.0,174,,,,,,,,,,,,,,,,
0,20082009,Ottawa,OHL,1,29,17,16,54,16,,46,5.0,0.0,0.0,,,,,,,,,,,,,
0,20092010,Ottawa,OHL,1,42,37,54,65,54,,79,10.0,0.0,25.0,,,,,,,,,,,,,
0,20102011,Ottawa,OHL,1,51,57,33,68,33,,108,13.0,4.0,44.0,,,,,,,,,,,,,
0,20102011,Manchester,AHL,2,0,1,0,1,0,,1,0.0,0.0,0.0,4.0,25.0,0.0,,,,,,,,,,
0,20112012,Ottawa,OHL,1,48,52,22,65,22,,100,8.0,7.0,31.0,,,,,,,,,,,,,
0,20122013,Los Angeles Kings,National Hockey League,1,3,2,2,10,2,0.0,5,1.0,0.0,3.0,20.0,10.0,0.0,119:47,4.0,2.0,15:33,104:14,0.0,0.0,00:00,1.0,178.0
0,20122013,Manchester,AHL,2,23,28,18,58,18,,51,6.0,3.0,20.0,178.0,15.73,2.0,,,,,,,,,,
0,20132014,Los Angeles Kings,National Hockey League,1,17,12,10,62,10,22.22,29,1.0,0.0,21.0,124.0,9.68,5.0,802:09,57.0,4.0,97:48,699:13,0.0,0.0,05:08,8.0,1100.0
0,20132014,Manchester,AHL,2,8,15,4,18,4,,23,5.0,0.0,5.0,63.0,23.8,4.0,,,,,,,,,,
0,20142015,Los Angeles Kings,National Hockey League,1,26,23,37,76,37,44.44,49,3.0,5.0,25.0,200.0,11.5,3.0,1108:46,86.0,5.0,109:52,923:23,0.0,6.0,75:31,11.0,1463.0
0,20142015,Canada,WC-A,2,3,2,2,10,2,,5,0.0,0.0,9.0,23.0,,0.0,,,,,,,,,,
0,20152016,Los Angeles Kings,National Hockey League,1,27,31,20,82,20,0.0,58,9.0,1.0,35.0,213.0,14.55,4.0,1419:39,70.0,11.0,171:56,1142:04,0.0,1.0,105:39,19.0,1861.0
0,20162017,Los Angeles Kings,National Hockey League,1,18,16,22,63,22,40.0,34,4.0,0.0,6.0,165.0,9.7,2.0,1044:54,54.0,7.0,143:27,835:06,1.0,1.0,66:21,4.0,1380.0
0,20172018,Los Angeles Kings,National Hockey League,1,23,24,16,82,16,36.0,47,6.0,0.0,9.0,251.0,9.56,6.0,1321:44,75.0,12.0,156:57,1126:20,1.0,0.0,38:27,17.0,1794.0
0,20182019,Los Angeles Kings,National Hockey League,1,21,13,23,82,23,47.06,34,3.0,0.0,-16.0,226.0,5.75,3.0,1411:25,39.0,5.0,168:53,1136:59,2.0,0.0,105:33,23.0,1902.0
0,20192020,Los Angeles Kings,National Hockey League,1,16,18,16,58,16,30.77,34,4.0,0.0,-4.0,165.0,10.9,3.0,963:17,33.0,7.0,122:08,779:22,0.0,0.0,61:47,14.0,1311.0
0,20192020,Vancouver Canucks,National Hockey League,2,4,6,4,10,4,0.0,10,1.0,0.0,3.0,38.0,15.8,1.0,182:25,15.0,3.0,25:10,156:59,1.0,0.0,00:16,2.0,239.0
0,20202021,Montréal Canadiens,National Hockey League,1,16,28,24,52,24,38.89,44,7.0,2.0,0.0,158.0,17.7,5.0,911:14,75.0,10.0,125:20,745:05,0.0,3.0,40:49,12.0,1181.0
0,20212022,Montréal Canadiens,National Hockey League,1,17,9,4,37,4,38.46,26,4.0,1.0,-8.0,100.0,9.0,0.0,648:15,46.0,8.0,98:40,507:22,0.0,1.0,42:13,14.0,873.0
0,20212022,Calgary Flames,National Hockey League,2,12,11,10,37,10,61.9,23,4.0,1.0,3.0,95.0,11.6,1.0,558:12,35.0,8.0,81:37,438:14,0.0,2.0,38:21,10.0,814.0
