,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,goalsAgainst,saves,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20082009,HIFK U16,Jr. C SM-sarja,80562,0.916,3.0,1,,,,,,,,,,,,,,,,,,,
0,20092010,HIFK U16,Jr. C SM-sarja Q,10154088,0.918,2.0,2,,,,,,,,,,,,,,,,,,,
0,20102011,HIFK U18,Fin-U18,1,,2.31,16,962:00,3.0,0.0,12.0,3.0,37.0,,,,,,,,,,,,,
0,20112012,HIFK U18,Fin-U18,1,,2.69,15,892:00,2.0,0.0,9.0,4.0,40.0,,,,,,,,,,,,,
0,20112012,HIFK Jr.,Fin-Jr.,2,,2.41,27,1618:00,3.0,0.0,14.0,9.0,65.0,,,,,,,,,,,,,
0,20122013,HIFK Jr.,Fin-Jr.,1,,2.63,41,2459:00,7.0,,,,108.0,,,,,,,,,,,,,
0,20132014,HIFK,Finland,1,,1.99,41,2355:00,2.0,5.0,20.0,14.0,78.0,,,,,,,,,,,,,
0,20132014,HCK,Finland-2,2,,2.14,6,364:00,,,,,13.0,,,,,,,,,,,,,
0,20142015,HIFK,Finland,1,,2.36,41,2338:00,3.0,10.0,16.0,11.0,92.0,,,,,,,,,,,,,
0,20142015,Finland,WJC-A,2,0.934066,2.29,3,119:00,1.0,0.0,1.0,2.0,6.0,85.0,91.0,,,,,,,,,,,
0,20142015,HIFK,Liiga,869,0.915,2.36,41,,,,,,,,,,,,,,,,,,,
0,20142015,Finland U20,WJC-20,17116,0.923,2.29,3,,,,,,,,,,,,,,,,,,,
0,20152016,HIFK,Finland,1,,1.91,39,2328:00,5.0,6.0,25.0,8.0,74.0,,,,,,,,,,,,,
0,20152016,HIFK,Liiga,869,0.927,1.91,39,,,,,,,,,,,,,,,,,,,
0,20162017,Chicago Wolves,AHL,957,0.92,2.37,22,,,,,,,,,,,,,,,,,,,
0,20162017,Kansas City Mavericks,ECHL,48205,0.91,3.23,13,,,,,,,,,,,,,,,,,,,
0,20172018,San Antonio Rampage,AHL,8497,0.922,2.42,38,,,,,,,,,,,,,,,,,,,
0,20172018,Finland,WC,17055,0.863,2.33,3,,,,,,,,,,,,,,,,,,,
0,20182019,San Antonio Rampage,AHL,8497,0.871,3.67,27,,,,,,,,,,,,,,,,,,,
0,20192020,San Antonio Rampage,AHL,8497,0.909,2.56,42,,,,,,,,,,,,,,,,,,,
0,20202021,St. Louis Blues,National Hockey League,1,0.893,3.205,17,917:19,1.0,0.0,9.0,6.0,49.0,411.0,460.0,1.0,65.0,9.0,337.0,10.0,374.0,76.0,15.0,85.52631578947368,90.0,90.10695187165776
0,20212022,St. Louis Blues,National Hockey League,1,0.919,2.56275,40,2341:14,2.0,0.0,25.0,7.0,100.0,1136.0,1236.0,6.0,127.0,35.0,974.0,36.0,1057.0,143.0,38.0,88.81118881118881,97.22222222222221,92.14758751182592
