,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Skelleftea U18,Swe-U18,1,0,0,0,2,0,0,,,,,,,,,,,,,,,,,
0,20112012,Skelleftea U18,Swe-U18,1,7,5,12,33,12,12,,,,,,,,,,,,,,,,,
0,20122013,Skelleftea U18,Swe-U18,1,0,0,0,2,0,0,,,,,,,,,,,,,,,,,
0,20122013,Skelleftea Jr.,Swe-Jr.,2,8,4,16,37,16,12,,,,,,,,,,,,,,,,,
0,20132014,Skelleftea Jr.,Swe-Jr.,1,14,4,38,38,38,18,,,,,,,,,,,,,,,,,
0,20132014,Skelleftea,Sweden,2,0,0,2,10,2,0,,,,,,,,,,,,,,,,,
0,20132014,Sweden,WJ18-A,4,0,1,2,7,2,1,8.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,
0,20142015,Vita Hasten,Sweden-2,1,3,3,22,15,22,6,,,,,,,,,,,,,,,,,
0,20142015,Skelleftea Jr.,Swe-Jr.,2,8,2,20,20,20,10,,,,,,,,,,,,,,,,,
0,20142015,Skelleftea,Sweden,3,0,0,0,14,0,0,,,,,,,,,,,,,,,,,
0,20152016,Skelleftea Jr.,Swe-Jr.,1,3,1,4,3,4,4,,,,,,,,,,,,,,,,,
0,20152016,Skelleftea,Sweden,2,5,2,10,46,10,7,,,,,,,,,,,,,,,,,
0,20152016,Sweden,WJC-A,3,4,0,6,7,6,4,10.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20152016,Skellefteå AIK,Champions HL,332,3,1,12,10,12,4,,,,,3.0,,,,,,,,,,,,
0,20152016,Skellefteå AIK,SHL,1019,5,2,10,46,10,7,,,,,17.0,,,,,,,,,,,,
0,20152016,Skellefteå AIK J20,J20 Nationell,7949,3,1,4,3,4,4,,,,,4.0,,,,,,,,,,,,
0,20152016,Sweden U20,WJC-20,8596,4,0,6,7,6,4,,,,,0.0,,,,,,,,,,,,
0,20162017,Skellefteå AIK,Champions HL,332,1,0,0,6,0,1,,,,,-2.0,,,,,,,,,,,,
0,20162017,Skellefteå AIK,SHL,1019,7,2,49,41,49,9,,,,,-3.0,,,,,,,,,,,,
0,20172018,Anaheim Ducks,National Hockey League,1,3,1,6,22,6,4,16.0,0.0,0.0,0.0,5.0,299:23,18.0,1.0,16:38,269:59,0.0,6.25,0.0,0.0,12:46,27.0,371.0
0,20172018,San Diego Gulls,AHL,85177,14,0,22,44,22,14,,,,,7.0,,,,,,,,,,,,
0,20182019,Anaheim Ducks,National Hockey League,1,6,0,17,27,17,6,15.0,0.0,0.0,0.0,4.0,378:32,16.0,0.0,03:34,343:10,0.0,0.0,0.0,0.0,31:48,32.0,572.0
0,20182019,Pittsburgh Penguins,National Hockey League,2,17,2,49,57,49,19,72.0,1.0,0.0,0.0,13.0,1022:45,85.0,5.0,68:27,917:16,100.0,2.78,0.0,1.0,37:02,76.0,1389.0
0,20182019,Sweden,WC,6815,1,0,4,8,4,1,,,,,4.0,,,,,,,,,,,,
0,20182019,Sweden,EHT,89816,0,0,0,3,0,0,,,,,0.0,,,,,,,,,,,,
0,20192020,Pittsburgh Penguins,National Hockey League,1,20,2,35,69,35,22,79.0,0.0,0.0,0.0,9.0,1338:32,106.0,2.0,60:16,1190:23,0.0,2.5,0.0,0.0,87:53,84.0,1792.0
0,20202021,Pittsburgh Penguins,National Hockey League,1,7,2,22,47,22,9,46.0,0.0,0.0,0.0,8.0,774:48,51.0,0.0,11:44,727:38,0.0,4.3,0.0,0.0,35:26,39.0,985.0
0,20212022,Pittsburgh Penguins,National Hockey League,1,17,2,38,72,38,19,83.0,0.0,0.0,0.0,8.0,1127:10,122.0,0.0,19:43,1085:29,0.0,2.4,0.0,0.0,21:58,74.0,1490.0
0,20212022,Sweden,WC,6815,0,0,0,4,0,0,,,,,0.0,,,,,,,,,,,,
