,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,shortHandedGoals,gameWinningGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Sudbury Wolves Bantam AAA,NOBHL,110042,45,24,72,42,72,0.0,69,,,,,,,,,,,,,,,,
0,20102011,Sud. Wolves M.M.,Minor-ON,1,45,20,58,32,58,,65,,,,,,,,,,,,,,,,
0,20102011,Sud. Wolves Mid.,Minor-ON,2,1,1,12,3,12,,2,,,,,,,,,,,,,,,,
0,20112012,Guelph,OHL,1,11,6,117,61,117,2.0,17,1.0,0.0,,,,,,,,,,,,,,
0,20122013,Guelph,OHL,1,9,13,68,43,68,-2.0,22,2.0,0.0,,,,,,,,,,,,,,
0,20132014,Guelph,OHL,1,26,9,49,29,49,9.0,35,4.0,0.0,2.0,,,,,,,,,,,,,
0,20142015,Guelph,OHL,1,55,43,91,68,91,26.0,98,13.0,0.0,5.0,,,,,,,,,,,,,
0,20142015,Grand Rapids,AHL,2,0,1,0,2,0,-2.0,1,0.0,0.0,0.0,4.0,25.0,,,,,,,,,,,
0,20152016,Grand Rapids,AHL,1,18,12,133,71,133,7.0,30,4.0,0.0,1.0,148.0,8.1,,,,,,,,,,,
0,20152016,Grand Rapids Griffins,AHL,987,18,12,133,71,133,7.0,30,,,,,,,,,,,,,,,,
0,20162017,Detroit Red Wings,National Hockey League,1,0,0,0,7,0,-1.0,0,0.0,0.0,0.0,3.0,0.0,63:45,12.0,0.0,00:22,63:23,50.0,0.0,0.0,00:00,0.0,90.0
0,20162017,Grand Rapids Griffins,AHL,987,25,12,37,48,37,15.0,37,,,,,,,,,,,,,,,,
0,20172018,Detroit Red Wings,National Hockey League,1,17,7,39,48,39,-7.0,24,1.0,0.0,1.0,83.0,8.43,691:12,53.0,2.0,68:25,617:34,12.5,0.0,0.0,05:13,38.0,901.0
0,20172018,Grand Rapids Griffins,AHL,987,7,7,34,16,34,-5.0,14,,,,,,,,,,,,,,,,
0,20182019,Detroit Red Wings,National Hockey League,1,26,21,36,73,36,11.0,47,3.0,0.0,4.0,131.0,16.03,1205:41,76.0,6.0,125:29,1079:01,33.33,1.0,0.0,01:11,39.0,1547.0
0,20182019,Canada,WC,17155,0,0,0,5,0,1.0,0,,,,,,,,,,,,,,,,
0,20192020,Detroit Red Wings,National Hockey League,1,27,21,40,71,40,-23.0,48,3.0,0.0,1.0,129.0,16.3,1371:19,71.0,14.0,223:11,1135:51,66.67,0.0,0.0,12:17,30.0,1534.0
0,20202021,Detroit Red Wings,National Hockey League,1,2,5,4,9,4,0.0,7,3.0,0.0,1.0,20.0,25.0,176:32,13.0,4.0,32:02,126:42,50.0,1.0,0.0,17:48,3.0,200.0
0,20212022,Detroit Red Wings,National Hockey League,1,32,30,47,68,47,-11.0,62,6.0,1.0,5.0,180.0,16.7,1350:44,65.0,14.0,200:06,1101:08,26.09,0.0,2.0,49:30,41.0,1469.0
