,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20122013,Detroit Red Wings,Brick Invitational,128776,3,2,2.0,6,2,5,
0,20142015,West Coast Selects U12,WSI U12,206726,3,4,4.0,9,4,7,
0,20162017,Belle Tire 13U AAA,T1EHL 13U,168883,3,1,6.0,5,6,4,
0,20162017,Pro Hockey Selects 2 U14,WSI U14,239208,3,0,0.0,8,0,3,
0,20172018,Compuware 14U AAA,HPHL 14U,144459,5,1,4.0,12,4,6,
0,20172018,Pro Hockey Selects U15,WSI U15,206920,1,0,6.0,7,6,1,
0,20182019,Compuware 16U AAA,HPHL 16U,97641,2,2,6.0,18,6,4,
0,20182019,Team Kelly,USA-S15,178073,1,0,,4,,1,
0,20192020,Sarnia Sting,OHL,9498,10,1,31.0,58,31,11,-15.0
0,20192020,Team Gold,USA-S16,177934,3,1,2.0,5,2,4,
0,20212022,Sarnia Sting,OHL,9498,22,9,52.0,59,52,31,-11.0
