,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,shots,shotPct,gameWinningGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,PAC Spruce Grove,AMBHL,1,19,2,28,33,28,21,,,,,,,,,,,,,,,,,
0,20092010,PAC Spruce Grove,Minor-AB,1,34,4,42,32,42,38,,,,,,,,,,,,,,,,,
0,20102011,St. Albert,AMHL,1,18,9,71,31,71,27,,,,,,,,,,,,,,,,,
0,20102011,Vancouver,WHL,2,0,0,0,3,0,0,0.0,0.0,-1.0,,,,,,,,,,,,,,
0,20112012,Vancouver,WHL,1,15,9,22,72,22,24,4.0,0.0,29.0,,,,,,,,,,,,,,
0,20122013,Vancouver,WHL,1,32,12,34,72,34,44,4.0,0.0,-34.0,,,,,,,,,,,,,,
0,20122013,Abbotsford,AHL,2,0,0,0,4,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,,,,,,,,,,,
0,20132014,Vancouver,WHL,1,46,14,51,69,51,60,6.0,0.0,-8.0,,,,,,,,,,,,,,
0,20132014,Abbotsford,AHL,2,2,1,2,6,2,3,0.0,0.0,5.0,4.0,25.0,0.0,,,,,,,,,,,
0,20142015,Calgary Flames,National Hockey League,1,0,0,2,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,19:31,0.0,0.0,00:39,18:04,0.0,0.0,0.0,00:48,0.0,29.0
0,20142015,Adirondack,AHL,2,9,4,27,26,27,13,2.0,0.0,-2.0,40.0,10.0,0.0,,,,,,,,,,,
0,20142015,Colorado,ECHL,3,21,9,15,39,15,30,4.0,0.0,9.0,70.0,12.9,,,,,,,,,,,,
0,20152016,Calgary Flames,National Hockey League,1,0,0,0,8,0,0,0.0,0.0,-2.0,9.0,0.0,0.0,98:46,2.0,0.0,00:00,97:56,0.0,0.0,0.0,00:50,3.0,146.0
0,20152016,Stockton,AHL,2,14,3,36,59,36,17,1.0,0.0,-9.0,107.0,2.8,0.0,,,,,,,,,,,
0,20152016,Stockton Heat,AHL,186037,14,3,36,59,36,17,,,-9.0,,,,,,,,,,,,,,
0,20162017,Calgary Flames,National Hockey League,1,3,0,12,21,12,3,0.0,0.0,-3.0,19.0,0.0,0.0,299:05,14.0,0.0,06:02,290:50,0.0,0.0,0.0,02:13,13.0,415.0
0,20162017,Stockton Heat,AHL,186037,8,2,14,22,14,10,,,7.0,,,,,,,,,,,,,,
0,20172018,Calgary Flames,National Hockey League,1,6,2,27,71,27,8,0.0,0.0,-3.0,73.0,2.74,0.0,921:59,45.0,0.0,03:01,900:43,0.0,0.0,0.0,18:15,49.0,1224.0
0,20182019,Montréal Canadiens,National Hockey League,1,11,6,31,57,31,17,0.0,1.0,12.0,102.0,5.88,3.0,1017:03,107.0,0.0,02:41,988:57,0.0,0.0,1.0,25:25,64.0,1275.0
0,20182019,Laval Rocket,AHL,222817,8,3,4,19,4,11,,,2.0,,,,,,,,,,,,,,
0,20192020,Montréal Canadiens,National Hockey League,1,7,0,12,56,12,7,0.0,0.0,-1.0,101.0,0.0,0.0,959:49,59.0,0.0,03:06,944:41,0.0,0.0,0.0,12:02,50.0,1091.0
0,20202021,Montréal Canadiens,National Hockey League,1,6,2,20,46,20,8,0.0,0.0,3.0,57.0,3.5,0.0,740:57,28.0,0.0,01:17,737:59,0.0,0.0,0.0,01:41,54.0,882.0
0,20212022,Montréal Canadiens,National Hockey League,1,10,3,33,56,33,13,0.0,0.0,-10.0,63.0,4.8,0.0,1006:21,64.0,0.0,05:18,950:24,0.0,0.0,1.0,50:39,48.0,1192.0
0,20212022,Edmonton Oilers,National Hockey League,2,6,2,12,18,12,8,0.0,0.0,6.0,29.0,6.9,0.0,307:30,39.0,0.0,00:00,278:01,0.0,0.0,0.0,29:29,15.0,363.0
