,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,NWCAA Stamps Bantam AA,HCBAA,128608,3,1,16,26,16,0.0,4,,,,,,,,,,,,,,,,
0,20122013,Edge School U15 Prep,U15 AAA,144978,34,19,24,44,24,33.0,53,,,,,,,,,,,,,,,,
0,20132014,Edge Elite 15s,CSSHL,1,16,7,12,24,12,,23,,,,,,,,,,,,,,,,
0,20132014,Edge Maroon,CSSHL,2,0,1,0,2,0,,1,,,,,,,,,,,,,,,,
0,20132014,Edge School,Other,3,24,18,12,29,12,,42,,,,,,,,,,,,,,,,
0,20142015,Calgary,WHL,1,34,5,2,51,2,20.0,39,31.0,3.0,16.1,2.0,0.0,,,,,,,,,,,
0,20152016,Calgary,WHL,1,40,24,28,68,28,8.0,64,,12.0,,,1.0,,,,,,,,,,,
0,20152016,Calgary Hitmen,WHL,6781,40,24,28,68,28,8.0,64,,,,,,,,,,,,,,,,
0,20152016,Canada U18,Hlinka Gretzky Cup,144760,1,0,4,4,4,2.0,1,,,,,,,,,,,,,,,,
0,20152016,Team White,U18-Dev,178691,2,1,2,3,2,,3,,,,,,,,,,,,,,,,
0,20162017,Calgary Hitmen,WHL,6781,37,8,14,43,14,-2.0,45,,,,,,,,,,,,,,,,
0,20162017,Canada U20,WJC-20,17216,2,0,2,7,2,1.0,2,,,,,,,,,,,,,,,,
0,20172018,Calgary Hitmen,WHL,6781,22,5,12,25,12,-12.0,27,,,,,,,,,,,,,,,,
0,20172018,Tri-City Americans,WHL,9481,14,7,10,32,10,5.0,21,,,,,,,,,,,,,,,,
0,20172018,Canada U20,WJC-20,17216,3,0,0,7,0,2.0,3,,,,,,,,,,,,,,,,
0,20182019,Carolina Hurricanes,National Hockey League,1,0,0,2,2,2,0.0,0,1.0,0.0,0.0,0.0,0.0,16:55,1.0,0.0,00:19,16:36,0.0,0.0,0.0,00:00,0.0,26.0
0,20182019,Charlotte Checkers,AHL,2357,31,13,26,70,26,17.0,44,,,,,,,,,,,,,,,,
0,20192020,Charlotte Checkers,AHL,2357,38,10,34,59,34,-6.0,48,,,,,,,,,,,,,,,,
0,20202021,Carolina Hurricanes,National Hockey League,1,11,1,10,42,10,-2.0,12,55.0,1.0,1.8,0.0,0.0,610:35,17.0,5.0,38:32,560:02,0.0,0.0,0.0,12:01,21.0,746.0
0,20212022,Columbus Blue Jackets,National Hockey League,1,18,7,26,67,26,-5.0,25,90.0,0.0,7.8,2.0,0.0,1378:04,41.0,4.0,74:48,1230:33,0.0,2.0,1.0,72:43,71.0,1621.0
